mach,V_ms,qbar_pa,alpha_trim_rad,de_trim_rad,Za,Zde,Ma,Mq,Mde
0.300,100.697,5526.23,0,0,-0.40059021,-0.056334278,-37.558557,-0.011092124,-9.0004049
0.500,167.829,15350.6,0,0,-0.6780832,-0.08941949,-107.06383,-0.019718864,-23.739049
0.700,234.96,30087.3,0,0,-0.97852648,-0.10849565,-219.53365,-0.031359784,-40.992229
0.900,302.092,49736.1,0,0,-1.2424566,-0.15201313,-353.36111,-0.054368626,-77.011878
1.600,537.052,157191,0,0,-2.2867074,-0.37993348,-914.33437,-0.084066621,-2855.8208
2.000,671.315,245610,0,0,-2.4132849,-0.33383276,-925.50768,-0.087037401,-3123.2174
2.500,839.144,383766,0,0,-2.6253989,-0.31048434,-941.28153,-0.089896881,-3623.9611
3.000,1006.97,552623,0,0,-2.8270843,-0.29806497,-976.82725,-0.091034373,-4176.7504
