mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.300,-11.526382,0.830717,11.734026,0.855512
0.500,-27.380273,1.705126,27.800068,2.258367
0.700,-46.696078,2.599011,47.112855,3.813645
0.900,-71.650011,4.628515,72.302290,6.856691
1.600,-410.453419,204.858407,984.579893,285.836077
2.000,-419.877761,222.438565,1066.591034,310.548429
2.500,-408.544072,257.194221,1227.739844,359.305546
3.000,-374.461427,295.831273,1407.628239,413.510729
