mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.200,-12.060546,1.131030,12.432134,1.334197
0.400,-39.119658,3.091476,39.918484,5.061564
0.600,-79.045665,5.513670,79.680967,9.662446
0.800,-136.140001,9.039376,136.786160,15.773098
1.800,-1687.581770,697.335414,3329.185739,983.359399
2.200,-1913.652075,801.077249,3824.762913,1130.064472
2.600,-1981.099757,914.041378,4362.783931,1289.521917
3.000,-2082.886861,1030.231775,4916.898250,1453.637582
