alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-2.879793,0.9500,-53.151000,11.971000,-28.424000,-0.130400,-9.870000,-1.731000,-7.242187,-35.935913
-2.879793,1.0500,-71.133000,18.457000,-1.872500,-0.211100,-9.870000,-1.731000,0.000000,-45.916838
-2.879793,1.2000,-64.771000,16.760000,-1.854100,-0.167000,-9.870000,-1.731000,0.000000,-42.444713
-2.879793,1.4000,-63.037000,16.227000,-1.932700,-0.133500,-9.870000,-1.731000,0.000000,-42.799947
-2.879793,1.8000,-59.848000,15.250000,-1.674400,-0.120000,-9.870000,-1.731000,0.000000,-35.947372
-2.879793,2.2000,-53.980000,13.617000,-1.437100,-0.109600,-9.870000,-1.731000,0.000000,-26.934746
-2.879793,2.6000,-47.068000,11.742000,-1.203000,-0.099080,-9.870000,-1.731000,0.000000,-19.635264
-2.879793,3.0000,-41.519000,10.244000,-1.030400,-0.088170,-9.870000,-1.731000,0.000000,-14.765122
-2.879793,3.5000,-36.416000,8.900000,-0.880200,-0.077670,-9.870000,-1.731000,0.000000,-11.596666
-2.879793,4.0000,-32.303000,7.841000,-0.763700,-0.069140,-9.870000,-1.731000,0.000000,-9.218891
-2.879793,4.5000,-28.993000,7.013000,-0.668000,-0.062240,-9.870000,-1.731000,0.000000,-7.316671
-2.879793,5.0000,-26.365000,6.369000,-0.589200,-0.056660,-9.870000,-1.731000,0.000000,-5.522740
-2.792527,0.0000,-52.168000,16.009000,-31.133600,-0.083590,-9.529000,-2.822000,-7.987032,-29.203659
-2.792527,0.2000,-52.148000,16.227000,-31.063500,-0.083590,-9.555000,-2.822000,-7.700553,-29.604729
-2.792527,0.4000,-52.495000,16.303000,-31.631500,-0.087840,-9.701000,-2.822000,-9.253268,-30.807941
-2.792527,0.6000,-53.202000,16.420000,-32.567100,-0.094490,-9.962000,-2.715000,-11.974818,-32.733079
-2.792527,0.8000,-52.502000,16.065000,-32.157400,-0.108000,-9.903000,-2.773000,-13.676503,-32.664324
-2.792527,0.9500,-49.458000,15.102000,-29.248400,-0.130400,-9.194000,-2.605000,-11.270080,-28.057743
-2.792527,1.0500,-66.220000,22.682000,-1.894800,-0.211100,-9.194000,-2.605000,0.000000,-34.366009
-2.792527,1.2000,-60.304000,20.476000,-1.942100,-0.167000,-9.194000,-2.605000,0.000000,-31.369439
-2.792527,1.4000,-58.625000,19.673000,-2.100500,-0.133500,-9.194000,-2.605000,0.000000,-31.432465
-2.792527,1.8000,-56.243000,18.475000,-1.812300,-0.120000,-9.194000,-2.605000,0.000000,-23.307923
-2.792527,2.2000,-51.383000,16.481000,-1.554900,-0.109600,-9.194000,-2.605000,0.000000,-18.139844
-2.792527,2.6000,-45.059000,14.204000,-1.297800,-0.099080,-9.194000,-2.605000,0.000000,-14.129139
-2.792527,3.0000,-39.835000,12.393000,-1.107000,-0.088170,-9.194000,-2.605000,0.000000,-12.037843
-2.792527,3.5000,-34.965000,10.794000,-0.929100,-0.077670,-9.194000,-2.605000,0.000000,-9.041274
-2.792527,4.0000,-31.109000,9.567000,-0.778300,-0.069140,-9.194000,-2.605000,0.000000,-6.302536
-2.792527,4.5000,-28.057000,8.602000,-0.660000,-0.062240,-9.194000,-2.605000,0.000000,-2.774262
-2.792527,5.0000,-25.675000,7.860000,-0.559200,-0.056660,-9.194000,-2.605000,0.000000,0.102903
-2.705260,0.0000,-48.670000,19.198000,-31.981600,-0.083590,-8.678000,-3.678000,-11.241432,-23.531377
-2.705260,0.2000,-48.604000,19.397000,-31.873300,-0.083590,-8.703000,-3.678000,-10.473668,-23.846503
-2.705260,0.4000,-48.862000,19.449000,-32.586000,-0.087840,-8.841000,-3.678000,-12.146705,-24.820532
-2.705260,0.6000,-49.435000,19.542000,-33.780400,-0.094490,-9.090000,-3.880000,-15.275055,-26.241467
-2.705260,0.8000,-48.799000,19.122000,-33.528400,-0.108000,-9.044000,-3.794000,-20.380109,-26.865991
-2.705260,0.9500,-46.224000,18.099000,-30.390900,-0.130400,-8.389000,-3.561000,-15.767799,-21.296841
-2.705260,1.0500,-62.220000,26.261000,-1.755700,-0.211100,-8.389000,-3.561000,0.000000,-23.348030
-2.705260,1.2000,-56.801000,23.540000,-1.885200,-0.167000,-8.389000,-3.561000,0.000000,-20.122278
-2.705260,1.4000,-55.320000,22.400000,-2.133400,-0.133500,-8.389000,-3.561000,0.000000,-19.423269
-2.705260,1.8000,-53.856000,21.009000,-1.843000,-0.120000,-8.389000,-3.561000,0.000000,-16.254813
-2.705260,2.2000,-49.194000,18.728000,-1.568200,-0.109600,-8.389000,-3.561000,0.000000,-15.590182
-2.705260,2.6000,-43.257000,16.168000,-1.288600,-0.099080,-8.389000,-3.561000,0.000000,-13.034790
-2.705260,3.0000,-38.245000,14.182000,-1.068100,-0.088170,-8.389000,-3.561000,0.000000,-9.740283
-2.705260,3.5000,-33.804000,12.453000,-0.861600,-0.077670,-8.389000,-3.561000,0.000000,-5.301006
-2.705260,4.0000,-30.270000,11.117000,-0.690900,-0.069140,-8.389000,-3.561000,0.000000,-0.848550
-2.705260,4.5000,-27.671000,10.075000,-0.552600,-0.062240,-8.389000,-3.561000,0.000000,2.640762
-2.705260,5.0000,-25.620000,9.259000,-0.437900,-0.056660,-8.389000,-3.561000,0.000000,5.149745
-2.617994,0.0000,-45.358000,22.218000,-33.095500,-0.083590,-7.727000,-4.663000,-17.051224,-20.809827
-2.617994,0.2000,-45.254000,22.398000,-32.891100,-0.083590,-7.748000,-4.663000,-15.928227,-21.205168
-2.617994,0.4000,-45.443000,22.436000,-33.751500,-0.087840,-7.874000,-4.663000,-18.798745,-22.408379
-2.617994,0.6000,-45.919000,22.523000,-35.233000,-0.094490,-8.103000,-4.827000,-30.825129,-26.963394
-2.617994,0.8000,-45.260000,21.889000,-35.714800,-0.108000,-8.098000,-4.839000,-33.151338,-24.350706
-2.617994,0.9500,-43.227000,20.975000,-32.000100,-0.130400,-7.490000,-4.596000,-19.090954,-14.862525
-2.617994,1.0500,-59.195000,29.289000,-1.504200,-0.211100,-7.490000,-4.596000,0.000000,-13.710880
-2.617994,1.2000,-54.424000,26.051000,-1.725500,-0.167000,-7.490000,-4.596000,0.000000,-9.923629
-2.617994,1.4000,-53.316000,24.509000,-2.066300,-0.133500,-7.490000,-4.596000,0.000000,-12.032114
-2.617994,1.8000,-51.787000,22.966000,-1.771500,-0.120000,-7.490000,-4.596000,0.000000,-15.177652
-2.617994,2.2000,-47.274000,20.521000,-1.476500,-0.109600,-7.490000,-4.596000,0.000000,-15.171922
-2.617994,2.6000,-41.567000,17.852000,-1.163600,-0.099080,-7.490000,-4.596000,0.000000,-11.178407
