alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-2.705260,1.3000,-30.743000,12.078000,-1.583900,-0.110300,-4.198000,-1.972000,0.000000,-12.267026
-2.705260,1.6000,-30.189000,11.511000,-1.165900,-0.094720,-4.198000,-1.972000,0.000000,-7.047381
-2.705260,2.0000,-26.919000,9.820000,-0.856100,-0.080170,-4.198000,-1.972000,0.000000,-4.728048
-2.705260,2.5000,-22.368000,7.866000,-0.594200,-0.066040,-4.198000,-1.972000,0.000000,-3.527128
-2.705260,3.0000,-19.182000,6.648000,-0.433400,-0.056810,-4.198000,-1.972000,0.000000,-1.704549
-2.617994,0.3000,-23.900000,9.790000,-22.003700,-0.067420,-3.624000,-2.423000,-40.175801,-21.056199
-2.617994,0.5000,-24.065000,9.632000,-23.332700,-0.071760,-3.713000,-2.483000,-40.645626,-20.844205
-2.617994,0.7000,-24.702000,9.765000,-24.775500,-0.080790,-3.864000,-2.584000,-37.058910,-18.271624
-2.617994,0.9000,-24.513000,10.007000,-22.754400,-0.103600,-3.727000,-2.492000,-23.382408,-11.149759
-2.617994,1.1000,-31.400000,14.735000,-1.195600,-0.138300,-3.727000,-2.492000,0.000000,-5.890006
-2.617994,1.3000,-29.687000,13.064000,-1.426600,-0.110300,-3.727000,-2.492000,0.000000,-5.535345
-2.617994,1.6000,-29.532000,12.503000,-1.001000,-0.094720,-3.727000,-2.492000,0.000000,-5.025413
-2.617994,2.0000,-26.328000,10.676000,-0.708700,-0.080170,-3.727000,-2.492000,0.000000,-4.988171
-2.617994,2.5000,-21.890000,8.634000,-0.451900,-0.066040,-3.727000,-2.492000,0.000000,-2.730717
-2.617994,3.0000,-18.990000,7.379000,-0.285800,-0.056810,-3.727000,-2.492000,0.000000,0.160944
-2.530727,0.3000,-21.604000,9.911000,-27.087800,-0.067420,-3.141000,-2.951000,-61.822146,-20.322813
-2.530727,0.5000,-21.987000,10.109000,-27.856500,-0.071760,-3.218000,-3.023000,-52.952759,-16.678801
