mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.300,-13.710765,0.967705,13.960813,1.073888
0.500,-32.366690,2.058285,32.850468,2.834832
0.700,-54.952622,3.192198,55.367778,4.787107
0.900,-84.452431,5.735606,85.001647,8.606913
1.600,-517.452064,256.418826,1231.563016,358.797889
2.000,-529.577184,278.461801,1334.785894,389.818252
2.500,-515.450036,322.023632,1537.822980,451.020990
3.000,-472.504584,370.449592,1764.348918,519.062453
