alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-2.705260,1.3000,-12.616000,4.354000,-0.988000,-0.089350,-5.536000,-2.698000,0.000000,-0.813600
-2.705260,1.6000,-12.863000,4.270000,-0.597400,-0.075060,-5.536000,-2.698000,0.000000,3.142674
-2.705260,2.0000,-11.510000,3.582000,-0.329500,-0.062170,-5.536000,-2.698000,0.000000,4.195197
-2.705260,2.5000,-9.896000,2.925000,-0.180800,-0.051370,-5.536000,-2.698000,0.000000,3.318572
-2.705260,3.0000,-8.580000,2.495000,-0.096000,-0.043350,-5.536000,-2.698000,0.000000,3.619374
-2.617994,0.3000,-9.974000,1.941000,-9.344900,-0.052820,-4.691000,-3.248000,-18.598210,-7.775037
-2.617994,0.5000,-9.964000,1.787000,-9.928200,-0.056340,-4.808000,-3.328000,-18.735720,-7.482829
-2.617994,0.7000,-10.118000,1.711000,-10.639400,-0.064000,-5.006000,-3.466000,-17.028306,-5.669417
-2.617994,0.9000,-10.299000,1.997000,-9.951200,-0.086300,-4.906000,-3.397000,-11.058085,-1.508598
-2.617994,1.1000,-12.733000,5.059000,-0.517500,-0.102800,-4.906000,-3.397000,0.000000,5.067812
-2.617994,1.3000,-12.911000,4.536000,-0.813100,-0.089350,-4.906000,-3.397000,0.000000,3.933928
-2.617994,1.6000,-13.418000,4.524000,-0.410900,-0.075060,-4.906000,-3.397000,0.000000,4.241607
-2.617994,2.0000,-11.996000,3.808000,-0.170400,-0.062170,-4.906000,-3.397000,0.000000,3.437174
-2.617994,2.5000,-10.256000,3.157000,-0.039500,-0.051370,-4.906000,-3.397000,0.000000,3.385608
-2.617994,3.0000,-9.032000,2.742000,0.043500,-0.043350,-4.906000,-3.397000,0.000000,4.515480
-2.530727,0.3000,-9.362000,1.743000,-11.739700,-0.052820,-4.059000,-3.942000,-29.197929,-7.597420
-2.530727,0.5000,-9.485000,1.786000,-12.089600,-0.056340,-4.160000,-4.040000,-25.353382,-5.412732
-2.530727,0.7000,-9.888000,2.103000,-12.285300,-0.064000,-4.331000,-4.206000,-19.222734,-1.546986
-2.530727,0.9000,-10.255000,2.699000,-10.958100,-0.086300,-4.245000,-4.123000,-11.430508,2.047178
-2.530727,1.1000,-13.514000,5.403000,-0.257400,-0.102800,-4.245000,-4.123000,0.000000,8.130271
-2.530727,1.3000,-13.771000,4.674000,-0.549000,-0.089350,-4.245000,-4.123000,0.000000,5.393825
-2.530727,1.6000,-14.027000,4.728000,-0.185800,-0.075060,-4.245000,-4.123000,0.000000,3.330031
-2.530727,2.0000,-12.495000,4.028000,0.021200,-0.062170,-4.245000,-4.123000,0.000000,2.523879
-2.530727,2.5000,-10.788000,3.415000,0.137700,-0.051370,-4.245000,-4.123000,0.000000,3.721361
-2.530727,3.0000,-9.618000,3.034000,0.215800,-0.043350,-4.245000,-4.123000,0.000000,5.519875
-2.443461,0.3000,-9.085000,2.058000,-14.441000,-0.052820,-3.415000,-4.642000,-29.621918,-2.130257
-2.443461,0.5000,-9.277000,2.289000,-14.353400,-0.056340,-3.500000,-4.758000,-24.780425,-0.700727
-2.443461,0.7000,-9.792000,2.873000,-13.994200,-0.064000,-3.645000,-4.954000,-18.827393,1.651837
