time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,f16_aero_fx,f16_aero_fy,f16_aero_fz,f16_aero_mx,f16_aero_my,f16_aero_mz,f16_engine_fx,f16_engine_fy,f16_engine_fz,f16_engine_mx,f16_engine_my,f16_engine_mz
0.39,58.419181,0,-2999.9609,149.6179,0,0.6891202,0,0.025368474,0,0,-0.11800164,0,-0.071834222,0,0,0.0079766859,-0.097200244,0,0,0.024446007,0,0,0.029974309,0,0.45534662,149.61948,2999.9609,9295.48,-86.815849,nan,nan,0,3000,150,10177.32,-6337.6923,0,-38697.528,0,38337.447,0,-86.815849,0,0,0,0,0
0.42,62.90738,0,-2999.9378,149.59363,0,0.86282508,0,0.022052561,0,0,-0.10152232,0,-0.086043284,0,0,0.0089888404,-0.1064941,0,0,0.026082806,0,0,0.02782029,0,0.45527539,149.59612,2999.9378,9295.48,-74.286621,nan,nan,0,3000,150,10174.166,-6768.6532,0,-36348.635,0,44941.713,0,-74.286621,0,0,0,0,0
0.45,67.394841,0,-2999.9094,149.56867,0,1.042295,0,0.019264841,0,0,-0.082751005,0,-0.097234493,0,0,0.010038788,-0.11294944,0,0,0.027760947,0,0,0.0262334,0,0.45520274,149.5723,2999.9094,9295.48,-60.430904,nan,nan,0,3000,150,10170.956,-7092.9349,0,-35165.35,0,49801.375,0,-60.430904,0,0,0,0,0
0.48,71.881545,0,-2999.8756,149.54319,0,1.2238355,0,0.017064569,0,0,-0.062358336,0,-0.10555068,0,0,0.011126418,-0.11679452,0,0,0.029470221,0,0,0.025248213,0,0.45512921,149.5482,2999.8756,9295.48,-45.228762,nan,nan,0,3000,150,10167.714,-7311.7511,0,-35101.36,0,53034.322,0,-45.228762,0,0,0,0,0
0.51,76.36748,0,-2999.8364,149.51741,0,1.4039339,0,0.015491571,0,0,-0.040964364,0,-0.11117534,0,0,0.012251015,-0.11826247,0,0,0.031199961,0,0,0.024881064,0,0.45505535,149.524,2999.8364,9295.48,-28.661681,nan,nan,0,3000,150,10164.465,-7428.1144,0,-36092.761,0,54777.139,0,-28.661681,0,0,0,0,0
0.54,80.85264,0,-2999.7918,149.49153,0,1.5793078,0,0.014567846,0,0,-0.019133113,0,-0.1143148,0,0,0.01341129,-0.11758626,0,0,0.032939938,0,0,0.025131983,0,0.45498168,149.49987,2999.7918,9295.48,-10.713276,nan,nan,0,3000,150,10161.231,-7446.4883,0,-38062.276,0,55175.176,0,-10.713276,0,0,0,0,0
0.57,85.337025,0,-2999.742,149.46576,0,1.7469421,0,0.014299284,0,0,0.0026296373,0,-0.11518681,0,0,0.014605469,-0.11499564,0,0,0.034681189,0,0,0.025986661,0,0.45490865,149.47597,2999.742,9295.48,8.6301002,nan,nan,0,3000,150,10158.034,-7372.5574,0,-40922.434,0,54376.269,0,8.6301002,0,0,0,0,0
0.6,89.82064,0,-2999.6874,149.44026,0,1.904117,0,0.014677425,0,0,0.023876555,0,-0.11401337,0,0,0.015831416,-0.11071565,0,0,0.036416705,0,0,0.027418396,0,0.4548366,149.45239,2999.6874,9295.48,29.378913,nan,nan,0,3000,150,10154.887,-7213.0615,0,-44578.061,0,52526.851,0,29.378913,0,0,0,0,0
0.63,94.303495,0,-2999.6282,149.41518,0,2.0484279,0,0.015681193,0,0,0.044217725,0,-0.11101643,0,0,0.01708679,-0.10496573,0,0,0.03814195,0,0,0.029389972,0,0.45476576,149.42922,2999.6282,9295.48,51.540208,nan,nan,0,3000,150,10151.8,-6975.6563,0,-48928.327,0,49769.62,0,51.540208,0,0,0,0,0
0.66,98.785605,0,-2999.5649,149.39061,0,2.1778008,0,0.017278601,0,0,0.063318897,0,-0.10641517,0,0,0.018369204,-0.097959309,0,0,0.039855185,0,0,0.031855465,0,0.45469621,149.40648,2999.5649,9295.48,75.1176,nan,nan,0,3000,150,10148.777,-6668.7793,0,-53868.511,0,46242.202,0,75.1176,0,0,0,0,0
0.69,103.26699,0,-2999.498,149.36659,0,2.2905013,0,0.019428387,0,0,0.080899325,0,-0.1004245,0,0,0.019676402,-0.089903585,0,0,0.04155759,0,0,0.034761949,0,0.45462787,149.38415,2999.498,9295.48,100.11148,nan,nan,0,3000,150,10145.813,-6301.5101,0,-59291.584,0,42076.411,0,100.11148,0,0,0,0,0
