alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-2.705260,1.3000,-36.795000,14.484000,-1.806500,-0.117100,-6.140000,-2.838000,0.000000,-13.848390
-2.705260,1.6000,-36.039000,13.756000,-1.398200,-0.102200,-6.140000,-2.838000,0.000000,-7.838063
-2.705260,2.0000,-32.169000,11.745000,-1.084700,-0.088070,-6.140000,-2.838000,0.000000,-5.253450
-2.705260,2.5000,-26.730000,9.404000,-0.794300,-0.073910,-6.140000,-2.838000,0.000000,-3.927053
-2.705260,3.0000,-22.939000,7.950000,-0.608600,-0.064290,-6.140000,-2.838000,0.000000,-1.854091
-2.617994,0.3000,-28.642000,12.118000,-24.729900,-0.071390,-5.328000,-3.510000,-43.590629,-23.852233
-2.617994,0.5000,-28.833000,11.928000,-26.243900,-0.075760,-5.458000,-3.595000,-44.541739,-23.829315
-2.617994,0.7000,-29.575000,12.076000,-27.904200,-0.084800,-5.677000,-3.740000,-40.886268,-20.947337
-2.617994,0.9000,-29.232000,12.286000,-25.542300,-0.107400,-5.455000,-3.593000,-25.737264,-12.610801
-2.617994,1.1000,-37.955000,17.826000,-1.481400,-0.146700,-5.455000,-3.593000,0.000000,-7.368237
-2.617994,1.3000,-35.579000,15.699000,-1.703100,-0.117100,-5.455000,-3.593000,0.000000,-6.056164
-2.617994,1.6000,-35.292000,14.961000,-1.291200,-0.102200,-5.455000,-3.593000,0.000000,-5.574879
-2.617994,2.0000,-31.490000,12.781000,-0.983300,-0.088070,-5.455000,-3.593000,0.000000,-5.698065
-2.617994,2.5000,-26.178000,10.327000,-0.682600,-0.073910,-5.455000,-3.593000,0.000000,-3.117463
-2.617994,3.0000,-22.722000,8.825000,-0.488000,-0.064290,-5.455000,-3.593000,0.000000,0.235371
-2.530727,0.3000,-25.898000,12.357000,-30.337300,-0.071390,-4.623000,-4.280000,-68.010090,-23.697534
-2.530727,0.5000,-26.343000,12.574000,-31.242100,-0.075760,-4.735000,-4.384000,-58.327104,-19.451917
-2.530727,0.7000,-27.450000,13.401000,-31.830300,-0.084800,-4.925000,-4.560000,-45.813705,-13.349917
-2.530727,0.9000,-27.519000,14.140000,-27.877500,-0.107400,-4.733000,-4.382000,-27.118092,-6.434316
-2.530727,1.1000,-37.187000,19.170000,-1.233600,-0.146700,-4.733000,-4.382000,0.000000,-1.473074
-2.530727,1.3000,-35.255000,16.619000,-1.509900,-0.117100,-4.733000,-4.382000,0.000000,-3.606769
-2.530727,1.6000,-34.661000,15.884000,-1.118200,-0.102200,-4.733000,-4.382000,0.000000,-6.434316
-2.530727,2.0000,-30.876000,13.655000,-0.815800,-0.088070,-4.733000,-4.382000,0.000000,-6.319724
-2.530727,2.5000,-25.934000,11.178000,-0.516700,-0.073910,-4.733000,-4.382000,0.000000,-1.899355
-2.530727,3.0000,-22.749000,9.686000,-0.315200,-0.064290,-4.733000,-4.382000,0.000000,2.408715
-2.443461,0.3000,-23.781000,13.239000,-36.602400,-0.071390,-3.902000,-5.060000,-68.984119,-13.957252
-2.443461,0.5000,-24.338000,13.839000,-36.421100,-0.075760,-3.997000,-5.183000,-57.353075,-11.333105
-2.443461,0.7000,-25.582000,15.128000,-35.900000,-0.084800,-4.158000,-5.391000,-45.704843,-7.723471
-2.443461,0.9000,-25.965000,16.249000,-30.275800,-0.107400,-3.995000,-5.181000,-27.639484,-2.245422
-2.443461,1.1000,-37.217000,20.250000,-0.945300,-0.146700,-3.995000,-5.181000,0.000000,-0.423989
-2.443461,1.3000,-35.125000,17.308000,-1.261100,-0.117100,-3.995000,-5.181000,0.000000,-5.639051
-2.443461,1.6000,-34.254000,16.618000,-0.900200,-0.102200,-3.995000,-5.181000,0.000000,-7.838063
-2.443461,2.0000,-30.352000,14.479000,-0.604300,-0.088070,-3.995000,-5.181000,0.000000,-6.308265
-2.443461,2.5000,-25.826000,12.009000,-0.316200,-0.073910,-3.995000,-5.181000,0.000000,-1.325251
-2.443461,3.0000,-23.204000,10.478000,-0.119800,-0.064290,-3.995000,-5.181000,0.000000,3.023498
-2.356194,0.3000,-21.883000,14.698000,-42.378400,-0.071390,-3.189000,-5.828000,-63.369132,-5.763955
-2.356194,0.5000,-22.444000,15.477000,-41.250600,-0.075760,-3.266000,-5.969000,-53.336641,-5.292984
-2.356194,0.7000,-23.714000,17.049000,-39.807800,-0.084800,-3.398000,-6.209000,-43.854190,-3.657763
-2.356194,0.9000,-24.351000,18.444000,-32.701400,-0.107400,-3.265000,-5.967000,-27.948881,0.534340
-2.356194,1.1000,-37.457000,21.067000,-0.650400,-0.146700,-3.265000,-5.967000,-5.907195,21.199438
-2.356194,1.3000,-35.067000,17.863000,-0.977400,-0.117100,-3.265000,-5.967000,-5.475185,20.093630
-2.356194,1.6000,-33.843000,17.259000,-0.657200,-0.102200,-3.265000,-5.967000,-4.245617,17.223111
-2.356194,2.0000,-30.080000,15.208000,-0.384500,-0.088070,-3.265000,-5.967000,-3.134652,14.616153
-2.356194,2.5000,-26.034000,12.750000,-0.106200,-0.073910,-3.265000,-5.967000,-2.070097,12.129517
-2.356194,3.0000,-23.792000,11.166000,0.089800,-0.064290,-3.265000,-5.967000,-1.468491,10.645556
-2.268928,0.3000,-19.933000,16.289000,-47.282500,-0.071390,-2.504000,-6.561000,-43.372905,-5.290119
-2.268928,0.5000,-20.511000,17.200000,-45.517800,-0.075760,-2.565000,-6.720000,-35.764026,-3.622812
-2.268928,0.7000,-21.765000,18.980000,-43.434500,-0.084800,-2.668000,-6.990000,-32.647135,-2.593780
-2.268928,0.9000,-22.534000,20.524000,-35.236200,-0.107400,-2.564000,-6.717000,-18.947714,-1.969256
-2.268928,1.1000,-37.641000,21.602000,-0.377600,-0.146700,-2.564000,-6.717000,-5.907195,-11.917522
-2.268928,1.3000,-35.229000,18.329000,-0.684500,-0.117100,-2.564000,-6.717000,-5.475185,-10.639826
-2.268928,1.6000,-33.366000,17.837000,-0.411000,-0.102200,-2.564000,-6.717000,-4.245617,-11.974818
-2.268928,2.0000,-29.889000,15.880000,-0.160300,-0.088070,-2.564000,-6.717000,-3.134652,-10.439291
-2.268928,2.5000,-26.477000,13.360000,0.105700,-0.073910,-2.564000,-6.717000,-2.070097,-3.158143
-2.268928,3.0000,-24.472000,11.732000,0.315800,-0.064290,-2.564000,-6.717000,-1.468491,-1.958943
-2.181662,0.3000,-17.859000,17.720000,-51.234800,-0.071390,-1.869000,-7.239000,-47.205993,-6.904141
-2.181662,0.5000,-18.440000,18.746000,-49.089900,-0.075760,-1.915000,-7.415000,-46.105914,-6.170755
-2.181662,0.7000,-19.616000,20.646000,-46.986300,-0.084800,-1.991000,-7.713000,-48.752979,-5.815522
-2.181662,0.9000,-20.353000,22.138000,-38.546300,-0.107400,-1.914000,-7.411000,-56.911898,-7.161972
-2.181662,1.1000,-37.593000,21.822000,-0.149400,-0.146700,-1.914000,-7.411000,-5.907195,-17.996604
-2.181662,1.3000,-35.244000,18.734000,-0.402600,-0.117100,-1.914000,-7.411000,-5.475185,-15.137545
-2.181662,1.6000,-33.041000,18.245000,-0.188400,-0.102200,-1.914000,-7.411000,-4.245617,-15.853742
-2.181662,2.0000,-29.636000,16.277000,0.030200,-0.088070,-1.914000,-7.411000,-3.134652,-13.521804
-2.181662,2.5000,-26.917000,13.748000,0.296800,-0.073910,-1.914000,-7.411000,-2.070097,-9.499640
-2.181662,3.0000,-25.096000,12.063000,0.511800,-0.064290,-1.914000,-7.411000,-1.468491,-8.158919
-2.094395,0.3000,-15.668000,18.766000,-55.521300,-0.071390,-1.303000,-7.842000,-75.229359,-9.333482
-2.094395,0.5000,-16.203000,19.840000,-53.564300,-0.075760,-1.335000,-8.032000,-81.360007,-9.442344
-2.094395,0.7000,-17.255000,21.810000,-51.943300,-0.084800,-1.388000,-8.354000,-96.428797,-9.837685
-2.094395,0.9000,-17.868000,23.120000,-45.169600,-0.107400,-1.334000,-8.028000,-1313.792224,-13.229595
-2.094395,1.1000,-37.509000,21.764000,0.032200,-0.146700,-1.334000,-8.028000,-5.907195,-24.746047
-2.094395,1.3000,-35.174000,19.002000,-0.156800,-0.117100,-1.334000,-8.028000,-5.475185,-20.196762
