mach,V_ms,qbar_pa,alpha_trim_rad,de_trim_rad,Za,Zde,Ma,Mq,Mde
0.300,94.9355,2974.71,0,0,-0.20100567,-0.040119614,-24.610093,-0.005598994,-6.9853651
0.500,158.226,8263.08,0,0,-0.34088719,-0.063507455,-70.036715,-0.0099028758,-18.38807
0.700,221.516,16195.6,0,0,-0.49220277,-0.077155452,-142.95835,-0.01551834,-30.846192
0.900,284.807,26772.4,0,0,-0.6174432,-0.10552008,-227.18348,-0.025269588,-55.151601
1.600,506.323,84614,0,0,-1.0993897,-0.21787942,-629.72795,-0.042748634,-2288.6967
2.000,632.903,132209,0,0,-1.1562408,-0.19662885,-698.90114,-0.04604785,-2578.7663
2.500,791.129,206577,0,0,-1.2128741,-0.18548451,-703.84521,-0.048305277,-3032.2803
3.000,949.355,297471,0,0,-1.2887439,-0.17861472,-707.56337,-0.050421533,-3516.2193
