mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.200,-12.062094,1.131164,12.433740,1.334439
0.400,-39.124754,3.091954,39.923625,5.062482
0.600,-79.056009,5.514595,79.691168,9.664198
0.800,-136.157876,9.040946,136.803721,15.775959
1.800,-1687.900302,697.461465,3329.787906,983.537764
2.200,-1914.020058,801.222109,3825.455035,1130.269456
2.600,-1981.477950,914.206686,4363.573787,1289.755815
3.000,-2083.283057,1030.418138,4917.788710,1453.901252
