mach,V_ms,qbar_pa,alpha_trim_rad,de_trim_rad,Za,Zde,Ma,Mq,Mde
0.200,65.7167,1963.39,0,0,-1.1948102,-0.28799475,-26.539296,-0.02285011,-8.4397304
0.400,131.433,7853.57,0,0,-2.4112037,-0.56118891,-107.35788,-0.048023774,-32.017946
0.600,197.15,17670.5,0,0,-3.6769332,-0.76038014,-246.50804,-0.07748918,-61.121758
0.800,262.867,31414.3,0,0,-4.8779102,-0.98670578,-433.63387,-0.11809125,-99.775924
1.800,591.45,159035,0,0,-10.711702,-2.220088,-1899.4721,-0.29522812,-6220.439
2.200,722.884,237570,0,0,-11.396226,-2.0859577,-2138.3369,-0.32956206,-7148.4517
2.600,854.317,331813,0,0,-11.864889,-2.0122631,-2187.6382,-0.3520978,-8157.132
3.000,985.751,441763,0,0,-12.279605,-1.9657029,-2282.19,-0.36153143,-9195.2789
