alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-2.705260,1.3000,-25.078000,9.430000,-1.423900,-0.089810,-5.919000,-2.826000,0.000000,-7.981302
-2.705260,1.6000,-24.636000,8.970000,-1.018200,-0.077000,-5.919000,-2.826000,0.000000,-2.268913
-2.705260,2.0000,-21.394000,7.395000,-0.714900,-0.064130,-5.919000,-2.826000,0.000000,0.366808
-2.705260,2.5000,-18.026000,5.962000,-0.516800,-0.054150,-5.919000,-2.826000,0.000000,0.334264
-2.705260,3.0000,-15.421000,5.006000,-0.383300,-0.047040,-5.919000,-2.826000,0.000000,1.486825
-2.617994,0.3000,-18.824000,6.710000,-15.667500,-0.053790,-5.021000,-3.410000,-30.613135,-15.103167
-2.617994,0.5000,-18.958000,6.589000,-16.570200,-0.057410,-5.143000,-3.493000,-30.888155,-14.839607
-2.617994,0.7000,-19.406000,6.612000,-17.712200,-0.065330,-5.350000,-3.634000,-28.556217,-12.662367
-2.617994,0.9000,-19.538000,6.931000,-16.678600,-0.088590,-5.251000,-3.566000,-19.492024,-7.024463
-2.617994,1.1000,-23.771000,10.502000,-0.937300,-0.103800,-5.251000,-3.566000,0.000000,0.641713
-2.617994,1.3000,-24.593000,10.104000,-1.335500,-0.089810,-5.251000,-3.566000,0.000000,-1.498285
-2.617994,1.6000,-24.568000,9.697000,-0.923600,-0.077000,-5.251000,-3.566000,0.000000,-0.541445
-2.617994,2.0000,-21.395000,8.011000,-0.631500,-0.064130,-5.251000,-3.566000,0.000000,-0.362797
-2.617994,2.5000,-18.000000,6.529000,-0.427900,-0.054150,-5.251000,-3.566000,0.000000,0.653172
-2.617994,3.0000,-15.607000,5.551000,-0.289600,-0.047040,-5.251000,-3.566000,0.000000,2.864216
-2.530727,0.3000,-17.247000,6.732000,-19.572800,-0.053790,-4.348000,-4.146000,-48.082618,-14.822418
-2.530727,0.5000,-17.542000,6.883000,-20.124700,-0.057410,-4.454000,-4.247000,-42.215530,-12.043573
-2.530727,0.7000,-18.293000,7.447000,-20.502500,-0.065330,-4.634000,-4.418000,-32.973721,-7.053110
