time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,tabulated_thrust_fx,tabulated_thrust_fy,tabulated_thrust_fz,tabulated_thrust_mx,tabulated_thrust_my,tabulated_thrust_mz
0.4,2.1568236,0.075202112,-24.947187,6.3097059,-0.10129178,-70.781357,-1.5499072,1.5329216,-1.5515677,2.0357185e-17,0.2758038,-0.11957602,0.018779986,-4.5611109e-19,-0.0063154563,0.55318574,0.01795364,-4.0714369e-19,-0.0059788008,1,0,0,0.017752113,0.0082189739,0.20818642,70.824652,24.947187,83.0316,7642.7083,1.4835299,0,0,nan,nan,3065.0289,-140.99917,-85.27961,-190.48745,-2.7894412e-18,-384.57038,169.41354,7642.7083,0,0,0,0,0
0.44,2.4070369,0.067565302,-27.839562,6.1809444,-0.2962253,-73.997781,-1.7921494,1.5273992,-1.7940071,2.8566345e-17,0.23603049,-0.10205077,0.017070969,-5.2994918e-19,-0.0056648142,0.58760462,0.015560698,-5.7132689e-19,-0.0051025386,1,0,0,0.025536047,0.011345266,0.21765321,74.042818,27.839562,82.82856,7637.15,1.4835299,0,0,nan,nan,3348.9672,-152.66949,-125.56497,-280.95872,-4.0838065e-18,-550.66026,243.11393,7637.15,0,0,0,0,0
0.48,2.6506241,0.051485739,-30.860538,5.9768471,-0.52407852,-77.211108,-1.943756,1.5214067,-1.9457757,2.0167649e-17,0.18296936,-0.07861942,0.014497806,-4.6859299e-19,-0.0047015996,0.61937215,0.012461024,-4.0335298e-19,-0.003930971,1,0,0,0.030706753,0.013338365,0.22711372,77.25853,30.860538,82.62552,7631.5917,1.4835299,0,0,nan,nan,3645.1202,-164.6607,-159.21304,-356.87763,-3.0193609e-18,-688.61714,303.94505,7631.5917,0,0,0,0,0
0.52,2.8848684,0.025782916,-34.009981,5.7142957,-0.77706502,-80.421005,-2.0315689,1.5165121,-2.0337064,2.2177802e-17,0.11975114,-0.050769316,0.01131117,-4.3486663e-19,-0.0034716367,0.64869258,0.0089368798,-4.4355603e-19,-0.0025384658,1,0,0,0.033086799,0.014121252,0.23656896,80.472109,34.009981,82.42288,7626.0333,1.4835299,0,0,nan,nan,3953.469,-177.40487,-180.58248,-407.32854,-3.4649973e-18,-778.95563,342.03469,7626.0333,0,0,0,0,0
0.56,3.1078549,-0.01035027,-37.287763,5.4164222,-1.0442969,-83.628044,-2.0748695,1.5135941,-2.0770742,2.1052918e-17,0.051030824,-0.020770988,0.0077966014,-4.2788121e-19,-0.0020613065,0.6757544,0.0052925509,-4.2105835e-19,-0.0010385494,1,0,0,0.032683182,0.01370915,0.24602165,83.684472,37.287763,82.22064,7620.475,1.4835299,0,0,nan,nan,4274.0594,-191.0669,-185.42135,-424.84522,-3.4189087e-18,-807.88315,349.79898,7620.475,0,0,0,0,0
0.6,3.3186747,-0.057244947,-40.693792,5.1102496,-1.3130277,-86.833569,-2.0836685,1.5130074,-2.0858878,2.1028038e-17,-0.01752132,0.0085948083,0.0042587476,-4.2290218e-19,-0.00059049219,0.7007316,0.0018416776,-4.2056076e-19,0.00042974042,1,0,0,0.029706192,0.012219073,0.25547536,86.896818,40.693792,82.0184,7614.9167,1.4835299,0,0,nan,nan,4606.9809,-205.74944,-171.9872,-404.77175,-3.5366932e-18,-766.73813,323.84974,7614.9167,0,0,0,0,0
0.64,3.5175384,-0.11471379,-44.228038,4.82433,-1.5703846,-90.039155,-2.0614156,1.5146743,-2.0635989,2.0992547e-17,-0.079729478,0.034444993,0.0010063185,-4.2039592e-19,0.000802841,0.72378476,-0.0011112962,-4.1985093e-19,0.0017222497,1,0,0,0.024575695,0.0098632436,0.2649329,90.110088,44.228038,81.81616,7609.3583,1.4835299,0,0,nan,nan,4952.312,-221.34757,-141.56967,-347.11371,-3.6519229e-18,-655.26867,266.01342,7609.3583,0,0,0,0,0
0.68,3.7057653,-0.18208118,-47.890531,4.5846988,-1.8052041,-93.246143,-2.0071467,1.5181394,-2.0092497,2.1428575e-17,-0.12989504,0.054245881,-0.0016782766,-4.2831047e-19,0.0019831366,0.7450621,-0.003316231,-4.285715e-19,0.002712294,1,0,0,0.017885427,0.0069275741,0.27439546,93.324677,47.890531,81.61392,7603.8,1.4835299,0,0,nan,nan,5310.0829,-237.41683,-98.245526,-257.60707,-3.8680642e-18,-483.51516,183.12221,7603.8,0,0,0,0,0
0.72,3.8856291,-0.25828238,-51.68134,4.4123512,-2.0095597,-96.455029,-1.9174978,1.5226342,-1.9194872,2.2387694e-17,-0.1633491,0.066201175,-0.003572057,-4.392896e-19,0.0028381011,0.76470041,-0.0045999948,-4.4775388e-19,0.0033100588,1,0,0,0.01035662,0.0037394395,0.28386173,96.540119,51.68134,81.41168,7598.2417,1.4835299,0,0,nan,nan,5680.2277,-253.94017,-47.935089,-146.94684,-4.2195139e-18,-269.49574,85.605244,7598.2417,0,0,0,0,0
0.76,4.0600954,-0.34201226,-55.600534,4.3202314,-2.17966,-99.665414,-1.7905313,1.5271922,-1.7923877,2.4396719e-17,-0.17722122,0.069488417,-0.0045393019,-4.6278511e-19,0.0032950345,0.78282595,-0.0048959161,-4.8793438e-19,0.0034744208,1,0,0,0.002765074,0.00063145992,0.29332857,99.755332,55.600534,81.20972,7592.6833,1.4835299,0,0,nan,nan,6062.5973,-270.3634,2.8327692,-27.21894,-4.8288817e-18,-36.444572,-14.589758,7592.6833,0,0,0,0,0
