mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.300,-16.795504,2.035788,18.517849,2.544284
0.500,-42.702879,3.711559,46.896079,6.881714
0.700,-76.448512,5.318233,82.423756,11.940935
0.900,-117.733302,9.168089,130.421686,22.296754
1.600,-491.247588,275.909468,2500.949524,759.655078
2.000,-553.296232,306.110749,2781.668387,845.122813
2.500,-587.855351,356.308979,3244.037196,986.634448
3.000,-620.462636,410.468469,3743.189194,1139.411293
