mach,V_ms,qbar_pa,alpha_trim_rad,de_trim_rad,Za,Zde,Ma,Mq,Mde
0.300,97.3766,3884.61,0,0,-0.24455348,-0.044999297,-20.952195,-0.0056932588,-5.6910681
0.500,162.294,10790.6,0,0,-0.41488031,-0.071248886,-59.618328,-0.010099581,-15.393055
0.700,227.212,21149.5,0,0,-0.60022752,-0.086623646,-121.62577,-0.015918662,-26.709548
0.900,292.13,34961.5,0,0,-0.75465776,-0.11887314,-193.98765,-0.0262454,-49.8735
1.600,519.342,110495,0,0,-1.3322845,-0.26132925,-544.60505,-0.042659189,-1699.2005
2.000,649.177,172649,0,0,-1.3941172,-0.23332969,-614.21806,-0.045132855,-1890.3752
2.500,811.472,269764,0,0,-1.4582809,-0.21770493,-648.89859,-0.04647271,-2206.9092
3.000,973.766,388461,0,0,-1.548691,-0.20999672,-681.8336,-0.04797301,-2548.6413
