mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.300,-7.947678,0.593301,8.078830,0.454617
0.500,-20.084523,1.108803,20.378079,1.196720
0.700,-36.054044,1.599646,36.433204,2.007512
0.900,-54.417029,2.716403,55.149380,3.589340
1.600,-214.616517,108.225664,527.436188,148.951454
2.000,-237.933986,121.594725,592.462222,167.829570
2.500,-243.413479,142.674345,689.349467,197.344878
3.000,-247.419627,165.124130,793.364949,228.840278
