alpha_rad,mach,CN,CA,CM,CMQ,CNR,CLP,CNB,CYB
-2.879793,0.9500,-53.107000,11.990000,-28.434500,-0.119000,-9.870000,-1.731000,-7.322401,-36.147907
-2.879793,1.0500,-71.144000,18.433000,-1.889800,-0.193200,-9.870000,-1.731000,0.000000,-45.876731
-2.879793,1.2000,-64.782000,16.692000,-1.871000,-0.147900,-9.870000,-1.731000,0.000000,-42.456173
-2.879793,1.4000,-63.043000,16.159000,-1.950600,-0.112300,-9.870000,-1.731000,0.000000,-42.845784
-2.879793,1.8000,-59.845000,15.192000,-1.694500,-0.095600,-9.870000,-1.731000,0.000000,-36.084882
-2.879793,2.2000,-53.967000,13.565000,-1.459900,-0.082720,-9.870000,-1.731000,0.000000,-27.152470
-2.879793,2.6000,-47.047000,11.700000,-1.229000,-0.070060,-9.870000,-1.731000,0.000000,-19.875906
-2.879793,3.0000,-41.493000,10.210000,-1.057300,-0.060210,-9.870000,-1.731000,0.000000,-15.005765
-2.879793,3.5000,-36.385000,8.880000,-0.906400,-0.051540,-9.870000,-1.731000,0.000000,-11.814390
-2.879793,4.0000,-32.271000,7.829000,-0.788800,-0.044880,-9.870000,-1.731000,0.000000,-9.419426
-2.879793,4.5000,-28.961000,7.009000,-0.691600,-0.039760,-9.870000,-1.731000,0.000000,-7.500018
-2.879793,5.0000,-26.333000,6.369000,-0.611500,-0.035760,-9.870000,-1.731000,0.000000,-5.690617
-2.792527,0.0000,-52.126000,15.968000,-31.152000,-0.072240,-9.529000,-2.822000,-8.084434,-29.427112
-2.792527,0.2000,-52.101000,16.193000,-31.081800,-0.072240,-9.555000,-2.822000,-7.797956,-29.833912
-2.792527,0.4000,-52.446000,16.271000,-31.649900,-0.076480,-9.701000,-2.822000,-9.350671,-31.042853
-2.792527,0.6000,-53.152000,16.390000,-32.585500,-0.083130,-9.962000,-2.715000,-12.077950,-32.967992
-2.792527,0.8000,-52.452000,16.035000,-32.175900,-0.096640,-9.903000,-2.773000,-13.779635,-32.904966
-2.792527,0.9500,-49.407000,15.072000,-29.267100,-0.119000,-9.194000,-2.605000,-11.378942,-28.309845
-2.792527,1.0500,-66.236000,22.660000,-1.925500,-0.193200,-9.194000,-2.605000,0.000000,-34.348820
-2.792527,1.2000,-60.318000,20.411000,-1.972800,-0.147900,-9.194000,-2.605000,0.000000,-31.409546
-2.792527,1.4000,-58.630000,19.608000,-2.133600,-0.112300,-9.194000,-2.605000,0.000000,-31.535597
-2.792527,1.8000,-56.226000,18.419000,-1.851200,-0.095600,-9.194000,-2.605000,0.000000,-23.542836
-2.792527,2.2000,-51.347000,16.432000,-1.600100,-0.082720,-9.194000,-2.605000,0.000000,-18.414864
-2.792527,2.6000,-45.014000,14.164000,-1.346400,-0.070060,-9.194000,-2.605000,0.000000,-14.386970
-2.792527,3.0000,-39.787000,12.361000,-1.154100,-0.060210,-9.194000,-2.605000,0.000000,-12.249838
-2.792527,3.5000,-34.917000,10.775000,-0.972700,-0.051540,-9.194000,-2.605000,0.000000,-9.230350
-2.792527,4.0000,-31.060000,9.556000,-0.818600,-0.044880,-9.194000,-2.605000,0.000000,-6.474423
-2.792527,4.5000,-28.009000,8.597000,-0.697600,-0.039760,-9.194000,-2.605000,0.000000,-2.955889
-2.792527,5.0000,-25.627000,7.859000,-0.594600,-0.035760,-9.194000,-2.605000,0.000000,-0.086517
-2.705260,0.0000,-48.640000,19.087000,-32.009600,-0.072240,-8.678000,-3.678000,-11.361753,-23.772019
