mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.200,-4.126600,0.805801,4.402415,0.483762
0.400,-14.001811,1.796389,14.844560,1.835255
0.600,-27.042929,2.840104,28.238441,3.503473
0.800,-42.866423,4.297810,44.474586,5.719113
1.800,-175.453150,234.411561,1109.697226,325.915862
2.200,-225.074614,267.258063,1268.411904,372.498078
2.600,-221.451715,303.644040,1441.298467,423.801906
3.000,-193.563393,341.329761,1619.809857,476.872309
