mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.300,-33.820334,1.719173,34.216569,2.251285
0.500,-78.508124,4.240731,79.247178,6.089218
0.700,-130.767232,7.130948,131.160466,10.565821
0.900,-197.086407,13.446238,197.054857,19.729068
1.600,-1271.691575,477.412973,2331.162509,672.173430
2.000,-1433.052598,530.847710,2590.912125,747.798723
2.500,-1551.212647,619.563876,3009.081331,873.013927
3.000,-1665.309980,715.310580,3460.420280,1008.197028
