time_s,mass_kg,ixx,iyy,izz,xcg_m
0,95,1.5,55,55,1.9444
0.25,93.01757812,1.5,55,55,1.9444
4.5,61.640625,1.5,55,55,1.9444
5,60,1.5,55,55,1.9444
