time_s,mass_kg,ixx,iyy,izz,xcg_m
0,820,40,2600,2600,3.8889
0.3,809.2755005,40,2600,2600,3.8889
8.5,527.864633,40,2600,2600,3.8889
9,520,40,2600,2600,3.8889
