time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,aircraft_aero_fx,aircraft_aero_fy,aircraft_aero_fz,aircraft_aero_mx,aircraft_aero_my,aircraft_aero_mz,turbojet_fx,turbojet_fy,turbojet_fz,turbojet_mx,turbojet_my,turbojet_mz
1,59.490424,0.26038825,-899.92727,59.039338,0.49620969,0.61086263,0.057626194,-0.0016772886,-0.052141259,0.061968301,0.0077515812,-0.02933549,-0.020569374,0.010317606,-0.016267173,0.025465841,-0.02109166,0.01018724,-0.014667745,0.046670117,0,0,0.0090477368,-0.0066257181,0.17560088,59.14637,899.92727,1200,71.870065,nan,nan,0,900,60,1963.6339,-1088.0764,-13.934881,-10871.68,-84.673908,62.654022,184.45941,71.870065,0,0,0,0,0
1.1,65.390567,0.31270159,-899.86287,58.959885,0.55370663,0.67721117,0.063500287,-0.0006058913,-0.054693439,0.054965031,0.010506243,-0.022667807,-0.021673438,0.0098622883,-0.012829414,0.029819259,-0.022145428,0.0095972281,-0.011333903,0.05166122,0,0,0.011072425,-0.0029949837,0.17535739,59.064402,899.86287,1200,84.156715,nan,nan,0,900,60,1958.2074,-1070.2735,-38.767734,-11116.413,-95.201903,41.92442,170.6963,84.156715,0,0,0,0,0
1.2,71.282854,0.37098468,-899.79276,58.88225,0.61581343,0.72418395,0.068638685,0.00066393867,-0.056585033,0.047356,0.012287075,-0.016552367,-0.022656904,0.0091578009,-0.0096478214,0.034289565,-0.023072479,0.0087997286,-0.0082761834,0.056661951,0,0,0.012968057,6.3997465e-05,0.17511815,58.983867,899.79276,1200,96.773398,nan,nan,0,900,60,1952.8843,-1052.7616,-57.872861,-11342.196,-100.15332,25.796034,155.14238,96.773398,0,0,0,0,0
1.3,77.167454,0.43568892,-899.7188,58.806189,0.68229233,0.7536467,0.073001204,0.0020420319,-0.057878817,0.039527299,0.013321729,-0.011037715,-0.023513687,0.0082875476,-0.0067556774,0.038858315,-0.023872189,0.0078703943,-0.0055188576,0.061682944,0,0,0.014686354,0.0025991075,0.17488244,58.904525,899.7188,1200,109.66807,nan,nan,0,900,60,1947.6482,-1036.084,-72.088549,-11542.781,-100.7405,13.651145,138.70757,109.66807,0,0,0,0,0
1.4,83.044514,0.5072331,-899.64265,58.731478,0.75272956,0.76781611,0.076582088,0.0034617468,-0.058640873,0.031777334,0.013801913,-0.0061431851,-0.024245499,0.0073188502,-0.0041692489,0.043512114,-0.024548913,0.0068697753,-0.0030715926,0.066732359,0,0,0.016205477,0.0046607506,0.17464973,58.826192,899.64265,1200,122.80291,nan,nan,0,900,60,1942.486,-1020.6061,-82.173874,-11715.535,-98.027067,4.7851583,122.07508,122.80291,0,0,0,0,0
1.5,88.914159,0.58598849,-899.56571,58.657918,0.82659232,0.76900923,0.079401563,0.0048758528,-0.058937594,0.024328443,0.013881826,-0.0018660675,-0.024859343,0.0063050979,-0.0018921446,0.048241269,-0.025111735,0.0058454337,-0.00093303374,0.071816157,0,0,0.017521812,0.0063001537,0.17441959,58.748729,899.56571,1200,136.15058,nan,nan,0,900,60,1937.3882,-1006.5349,-88.814956,-11860.279,-92.917232,-1.475405,105.76178,136.15058,0,0,0,0,0
1.6,94.776495,0.67226946,-899.48918,58.585337,0.90327895,0.75948036,0.081498694,0.0062524866,-0.058833545,0.017338791,0.0136824,0.0018129504,-0.025365718,0.0052877452,8.1562371e-05,0.053038748,-0.025572267,0.0048338519,0.0009064752,0.076938427,0,0,0.018643564,0.0075679698,0.17419175,58.672039,899.48918,1200,149.69122,nan,nan,0,900,60,1932.3479,-993.9485,-92.62739,-11978.391,-86.162134,-5.7129678,90.152162,149.69122,0,0,0,0,0
1.7,100.63161,0.76632861,-899.41404,58.513595,0.98216056,0.74132189,0.082925468,0.0075715948,-0.058389955,0.01091355,0.01329637,0.0049253676,-0.025776709,0.0042981147,0.0017648887,0.057899386,-0.025943007,0.0038621548,0.0024626838,0.082101709,0,0,0.019586028,0.0085131365,0.17396601,58.596056,899.41404,1200,163.41024,nan,nan,0,900,60,1927.3604,-982.82823,-94.157684,-12072.163,-78.373732,-8.4212862,75.521004,163.41024,0,0,0,0,0
1.8,106.4796,0.86835565,-899.34104,58.442583,1.0626135,0.71641085,0.083742002,0.008821909,-0.05766372,0.0051149911,0.012793099,0.0075111757,-0.026104817,0.0033590271,0.0031759279,0.062819295,-0.026236466,0.002949661,0.0037555878,0.087307288,0,0,0.020368198,0.0091819798,0.17374226,58.52074,899.34104,1200,177.29665,nan,nan,0,900,60,1922.4226,-973.08913,-93.88504,-12144.344,-70.040615,-10.004612,62.051163,177.29665,0,0,0,0,0
1.9,112.32051,0.97847913,-899.27079,58.372217,1.1440429,0.68638732,0.084012724,0.0099984632,-0.056706803,-2.8601722e-05,0.012223216,0.0096157617,-0.026362226,0.0024862572,0.0043361664,0.067795425,-0.026464566,0.0021092624,0.0048078808,0.092555457,0,0,0.021010412,0.0096175563,0.17352044,58.446072,899.27079,1200,191.34184,nan,nan,0,900,60,1917.5333,-964.60575,-92.224053,-12197.818,-61.544277,-10.783121,49.849192,191.34184,0,0,0,0,0
