time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,aircraft_aero_fx,aircraft_aero_fy,aircraft_aero_fz,aircraft_aero_mx,aircraft_aero_my,aircraft_aero_mz,turbojet_fx,turbojet_fy,turbojet_fz,turbojet_mx,turbojet_my,turbojet_mz
0,4000,2000,-1100,-60,0,0,-3.8542078e-34,0.034906585,3.1415927,0,0,0,0.006981317,7.7084155e-35,0,0,0.06981317,7.7084155e-34,0,0,0,0,0.034906585,0.06660862,0.17894317,60.133186,1100,1200,0,nan,nan,3.1415927,1100,60,1990.2205,-852.8461,-843.9937,-15093.839,-2160.6024,-2124.8439,1374.0776,0,0,0,0,0,0
0.1,3994.0055,2000.0033,-1100.0122,-59.885053,0.068088464,-0.22979703,-0.0038170246,0.028444624,-3.1393905,-0.042329564,-0.11815352,0.04165394,-0.00035486656,0.020680702,0.013416602,0,-0.026632486,0.022192411,0.02082697,0,0,0,0.024849806,0.06328604,0.17858982,60.014435,1100.0122,1200,0,nan,nan,3.1415927,1100,60,1982.3654,-961.84113,-718.15674,-13314.18,439.01395,-557.33402,754.43511,0,0,0,0,0,0
0.2,3988.0222,2000.013,-1100.0382,-59.777571,0.12745885,-0.26390663,-0.006911601,0.017288222,-3.1340931,-0.030399996,-0.090189225,0.061437939,-0.025263047,0.011297739,0.026402419,0.00042898921,-0.023223119,0.0065246046,0.03071897,0.0048673553,0,0,0.013270835,0.057106689,0.17825963,59.903458,1100.0382,1200,1.1941618,nan,nan,3.1415927,1100,60,1975.0356,-1057.3971,-560.10421,-11318.644,-178.19816,911.45031,334.21513,1.1941618,0,0,0,0,0
0.3,3982.0493,2000.0282,-1100.0617,-59.675763,0.17756153,-0.19428183,-0.010640347,0.010193923,-3.1274449,-0.046684759,-0.057215654,0.069097852,-0.015248478,0.0044508778,0.032815067,0.001771783,-0.012268298,0.0021797357,0.034548926,0.010268397,0,0,0.0074710353,0.049742734,0.17794697,59.798373,1100.0617,1200,4.9320403,nan,nan,3.1415927,1100,60,1968.1078,-1100.5033,-427.63465,-10645.135,-183.40446,302.52194,81.805239,4.9320403,0,0,0,0,0
0.4,3976.0864,2000.0481,-1100.0761,-59.577974,0.22179914,-0.081673051,-0.015847866,0.0052057337,-3.1204188,-0.058529957,-0.044170437,0.069181133,-0.014430121,-0.00045601398,0.034540201,0.0038418802,-0.015341749,-0.0025609308,0.034590567,0.015551449,0,0,0.0045043898,0.042091676,0.17764744,59.697709,1100.0761,1200,10.694475,nan,nan,3.1415927,1100,60,1961.4844,-1116.3982,-320.39822,-10221.437,-135.61594,249.2602,-65.965216,10.694475,0,0,0,0,0
0.5,3970.1331,2000.0722,-1100.0778,-59.484059,0.26302472,0.057793198,-0.022131438,0.0015880265,-3.1135995,-0.067495718,-0.029880313,0.06514543,-0.016022609,-0.0044573457,0.033455161,0.0064853393,-0.016422798,-0.0059686744,0.032572715,0.020717477,0,0,0.0033269038,0.034682597,0.17736072,59.601356,1100.0778,1200,18.052955,nan,nan,3.1415927,1100,60,1955.1575,-1119.6837,-233.56537,-10022.926,-92.385372,262.83613,-142.343,18.052955,0,0,0,0,0
0.6,3964.189,2000.1005,-1100.0651,-59.393591,0.30362051,0.20426506,-0.0291547,-0.00061841043,-3.1073071,-0.07259553,-0.017408473,0.05899791,-0.016736578,-0.0072228055,0.030867007,0.0095781144,-0.017116138,-0.0082494401,0.029498955,0.025785503,0,0,0.0036268647,0.027775726,0.17708543,59.508853,1100.0651,1200,26.662202,nan,nan,3.1415927,1100,60,1949.0957,-1114.7839,-162.41508,-10043.422,-39.55175,200.30935,-181.0086,26.662202,0,0,0,0,0
0.7,3958.2538,2000.1328,-1100.0379,-59.306192,0.34549584,0.34366726,-0.036513201,-0.0017101652,-3.1017037,-0.073936506,-0.0080251196,0.051846086,-0.017853884,-0.0090363624,0.02752205,0.013022814,-0.018433503,-0.0096722926,0.025923043,0.03077813,0,0,0.0048628234,0.021490856,0.17682,59.419676,1100.0379,1200,36.251137,nan,nan,3.1415927,1100,60,1943.2636,-1104.1577,-103.86431,-10185.631,4.5840712,154.73587,-197.48619,36.251137,0,0,0,0,0
0.8,3952.3272,2000.1694,-1099.9975,-59.221579,0.39007728,0.46829385,-0.043856508,-0.0019572661,-3.096861,-0.072205682,-0.00074609419,0.044345202,-0.0191677,-0.010062803,0.023852888,0.016743674,-0.019753505,-0.01037914,0.022172601,0.035716038,0,0,0.0066387728,0.015873261,0.17656303,59.333349,1099.9975,1200,46.608891,nan,nan,3.1415927,1100,60,1937.6289,-1089.7842,-55.801322,-10397.366,39.78154,119.39362,-200.73075,46.608891,0,0,0,0,0
0.9,3946.409,2000.2107,-1099.9455,-59.139486,0.43838663,0.57383822,-0.050905947,-0.001565316,-3.0927965,-0.068091344,0.0047199281,0.036889315,-0.020439518,-0.010463371,0.020116221,0.020682448,-0.021000002,-0.010530831,0.018444658,0.040619403,0,0,0.0086878412,0.010927133,0.17631315,59.249415,1099.9455,1200,57.57335,nan,nan,3.1415927,1100,60,1932.1607,-1073.0086,-16.671851,-10644.423,65.932105,87.287424,-195.80033,57.57335,0,0,0,0,0
