mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.300,-16.840821,2.036877,18.564196,2.545123
0.500,-42.847711,3.714338,47.044677,6.883983
0.700,-76.753777,5.323299,82.737639,11.944873
0.900,-118.189642,9.175712,130.899645,22.304107
1.600,-491.479890,275.998569,2501.954129,759.905565
2.000,-553.547244,306.209827,2782.783459,845.401490
2.500,-588.104084,356.424490,3245.297484,986.959798
3.000,-620.705307,410.601750,3744.606038,1139.787039
