mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.300,-15.689125,0.993209,15.959539,1.009582
0.500,-38.464384,2.093301,39.065640,2.657594
0.700,-67.384890,3.223199,68.120653,4.458144
0.900,-101.139054,5.659382,102.502681,7.970960
1.600,-466.530834,236.754050,1150.610091,330.781153
2.000,-518.462814,266.414719,1293.581175,372.704401
2.500,-532.603070,312.978379,1510.747804,438.249957
3.000,-543.314102,362.618841,1743.432986,508.192772
