time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0.05,1824.82,80.605685,-4490.3516,97.864134,12.233054,196.07172,-0.0042336194,-1.1002495,0.10947155,0.00010594721,-0.028304617,0.092562938,-0.0023876364,7.0884075e-05,-0.03674584,0.097062676,-0.0036013959,0.00014010149,-0.030403112,1,0,0,0.0045680803,0.0066688202,0.68031912,219.47928,4490.3516,117.63762,15166.667,-1.1044185,nan,0.12525696,nan,nan,18734.694,-298.74194,-158.69988,-62.519074,0.041417248,-51.047138,173.18998,15166.667,0,0,0,0,0
0.055,1825.3099,80.6669,-4489.37,98.15206,12.258191,196.68314,-0.0051798301,-1.1003941,0.11053379,0.00015196717,-0.030963927,0.1014647,-0.0027078276,9.0616695e-05,-0.034777964,0.106056,-0.0039252988,0.00016939714,-0.026581753,1,0,0,0.0044963254,0.0061377392,0.68240611,220.15528,4489.37,117.60138,15183.333,-1.1044625,nan,0.12521835,nan,nan,18852.252,-300.5327,-148.5519,-61.331588,0.053243969,-49.712568,162.68257,15183.333,0,0,0,0,0
0.06,1825.8013,80.728242,-4488.3853,98.440147,12.284121,197.29537,-0.0062118685,-1.1005511,0.11169251,0.00021044881,-0.03354916,0.1097762,-0.0030276074,0.00011279883,-0.032365352,0.11495976,-0.0042401584,0.00020069418,-0.022582472,1,0,0,0.0044116171,0.0055670675,0.68449563,220.83212,4488.3853,117.56514,15200,-1.1045065,nan,0.12517971,nan,nan,18970.34,-302.33076,-136.92739,-59.936449,0.066648619,-48.198734,150.44349,15200,0,0,0,0,0
0.065,1826.294,80.789716,-4487.3976,98.728369,12.310931,197.90841,-0.0073236803,-1.1007201,0.11294098,0.00028294786,-0.036051032,0.11741014,-0.0033448798,0.00013728623,-0.029572172,0.12377483,-0.0045449612,0.00023368467,-0.018432584,1,0,0,0.00431442,0.0049602994,0.68658767,221.50979,4487.3976,117.52891,15216.667,-1.1045507,nan,0.12514103,nan,nan,19088.959,-304.13614,-123.96835,-58.340359,0.081570406,-46.513375,136.65131,15216.667,0,0,0,0,0
0.07,1826.7883,80.851326,-4486.4069,99.016703,12.3387,198.52227,-0.0085083788,-1.1009004,0.11427152,0.00037094893,-0.03846067,0.12428832,-0.0036578013,0.00016389508,-0.026454442,0.1325021,-0.0048387459,0.00026804318,-0.014160723,1,0,0,0.0042052413,0.0043213068,0.68868223,222.18831,4486.4069,117.49267,15233.333,-1.1045949,nan,0.1251023,nan,nan,19208.112,-305.94886,-109.81139,-56.550425,0.097923152,-44.664363,121.47318,15233.333,0,0,0,0,0
0.075,1827.2839,80.913077,-4485.413,99.305127,12.367497,199.13696,-0.0097583293,-1.1010916,0.11567566,0.00047584114,-0.040769614,0.13034121,-0.0039647358,0.00019240763,-0.023062149,0.14114245,-0.0051206115,0.00030343123,-0.0097966447,1,0,0,0.0040846285,0.003654296,0.6907793,222.86766,4485.413,117.45643,15250,-1.1046392,nan,0.12506352,nan,nan,19327.799,-307.76892,-94.590588,-54.574216,0.115598,-42.65979,105.06924,15250,0,0,0,0,0
0.08,1827.781,80.974974,-4484.4161,99.59362,12.397384,199.75249,-0.011065228,-1.101293,0.11714414,0.00059889651,-0.042969839,0.13550759,-0.0042642235,0.00022257745,-0.019440833,0.14969674,-0.0053897261,0.00033950127,-0.0053710244,1,0,0,0.0039531668,0.0029637635,0.6928789,223.54785,4484.4161,117.42019,15266.667,-1.1046836,nan,0.12502467,nan,nan,19448.023,-309.59635,-78.439579,-52.4198,0.13446603,-40.508027,87.595866,15266.667,0,0,0,0,0
0.085,1828.2796,81.037022,-4483.4161,99.882162,12.428417,200.36885,-0.012420179,-1.101504,0.11866708,0.00074125095,-0.045053763,0.13973445,-0.0045549571,0.00025413445,-0.015632777,0.15816583,-0.0056453358,0.00037590037,-0.00091524486,1,0,0,0.0038114773,0.0022544557,0.69498101,224.22887,4483.4161,117.38395,15283.333,-1.1047281,nan,0.12498575,nan,nan,19568.785,-311.43116,-61.492965,-50.095762,0.15438074,-38.217763,69.20796,15283.333,0,0,0,0,0
0.09,1828.7796,81.099228,-4482.413,100.17074,12.46064,200.98606,-0.013813773,-1.1017239,0.12023403,0.00090388759,-0.04701427,0.14297691,-0.0048357665,0.00028678946,-0.011677869,0.16655056,-0.0058867724,0.00041227369,0.0035388267,1,0,0,0.0036602143,0.0015313262,0.69708563,224.91074,4482.413,117.34772,15300,-1.1047726,nan,0.12494673,nan,nan,19690.086,-313.27336,-43.88721,-47.611211,0.17518049,-35.798017,50.060528,15300,0,0,0,0,0
0.095,1829.281,81.161598,-4481.4069,100.45932,12.49409,201.60411,-0.015236163,-1.1019522,0.12183403,0.0010876226,-0.048844725,0.1451983,-0.0051056082,0.00032023857,-0.0076142224,0.17485179,-0.0061134607,0.00044826764,0.0079590668,1,0,0,0.0035000626,0.00079949545,0.69919275,225.59343,4481.4069,117.31148,15316.667,-1.1048173,nan,0.12490761,nan,nan,19811.929,-315.12298,-25.761101,-44.975776,0.19669077,-33.258149,30.309655,15316.667,0,0,0,0,0
0.1,1829.7839,81.224137,-4480.3976,100.74791,12.528795,202.22302,-0.016677145,-1.1021883,0.12345577,0.0012931104,-0.050538471,0.14637036,-0.0053636666,0.00035416715,-0.0034776181,0.18307033,-0.0063260083,0.0004835323,0.012322732,1,0,0,0.0033317367,6.4208204e-05,0.70130238,226.27696,4480.3976,117.27524,15333.333,-1.104862,nan,0.12486838,nan,nan,19934.313,-317.03179,-7.2637544,-42.169962,0.21880974,-30.560437,10.12596,15333.333,0,0,0,0,0
0.105,1830.2882,81.286853,-4479.3853,101.03648,12.564773,202.84279,-0.018126234,-1.1024313,0.1250876,0.0015209091,-0.05208681,0.14647308,-0.0056093595,0.000388253,0.00069708304,0.19120701,-0.0065234231,0.00051772141,0.016583853,1,0,0,0.003155991,-0.00066920932,0.7034145,226.96132,4479.3853,117.239,15350,-1.1049068,nan,0.12482901,nan,nan,20057.24,-318.98156,11.488744,-39.21498,0.24133429,-27.731744,-10.381442,15350,0,0,0,0,0
0.11,1830.7939,81.34975,-4478.3698,101.32502,12.602034,203.46342,-0.01957274,-1.1026808,0.12671765,0.0017713122,-0.053484153,0.14549162,-0.0058418679,0.00042217015,0.0048718422,0.19926266,-0.0067046836,0.00055050108,0.020702123,1,0,0,0.0029736074,-0.0013953788,0.7055291,227.64651,4478.3698,117.20276,15366.667,-1.1049517,nan,0.12478951,nan,nan,20180.712,-320.94055,30.35677,-36.140894,0.26401764,-24.812482,-31.083426,15366.667,0,0,0,0,0
0.115,1831.3011,81.412837,-4477.3512,101.61352,12.640579,204.0849,-0.021005818,-1.102936,0.12833391,0.0020443966,-0.054725973,0.14341995,-0.0060604908,0.00045559253,0.0090099279,0.20723806,-0.0068695964,0.00058154954,0.024646319,1,0,0,0.0027853874,-0.0021089066,0.70764618,228.33252,4477.3512,117.16652,15383.333,-1.1049966,nan,0.12474985,nan,nan,20304.73,-322.90883,49.188183,-32.96006,0.28665439,-21.814302,-51.784576,15383.333,0,0,0,0,0
0.12,1831.8098,81.476119,-4476.3296,101.90198,12.680399,204.70725,-0.022414569,-1.1031964,0.12992428,0.0023400324,-0.055808364,0.14026172,-0.0062646573,0.000488197,0.013076019,0.21513404,-0.0070180763,0.00061055942,0.028386401,1,0,0,0.0025921491,-0.0028044325,0.70976574,229.01936,4476.3296,117.13029,15400,-1.1050417,nan,0.12471002,nan,nan,20429.294,-324.88646,67.830438,-29.685191,0.309036,-18.749034,-72.315141,15400,0,0,0,0,0
0.125,1832.3199,81.539603,-4475.3048,102.19038,12.721474,205.33047,-0.02378813,-1.1034612,0.13147673,0.0026578807,-0.056728051,0.13602946,-0.0064539214,0.00051966636,0.017036177,0.22295136,-0.0071501436,0.0006372404,0.031893698,1,0,0,0.0023947241,-0.0034766748,0.71188776,229.70702,4475.3048,117.09405,15416.667,-1.1050868,nan,0.12467001,nan,nan,20554.407,-326.87349,86.131331,-26.329315,0.33095272,-15.628657,-92.505908,15416.667,0,0,0,0,0
0.13,1832.8314,81.603294,-4474.2769,102.47873,12.763775,205.95456,-0.025115764,-1.10373,0.13297935,0.0029973927,-0.057482398,0.13074461,-0.0066279566,0.00054969214,0.020857876,0.23069083,-0.0072659191,0.00066132148,0.03514115,1,0,0,0.0021939541,-0.0041204747,0.71401225,230.3955,4474.2769,117.05781,15433.333,-1.105132,nan,0.12462981,nan,nan,20680.071,-328.86998,103.93984,-22.905736,0.3521954,-12.465263,-112.189,15433.333,0,0,0,0,0
0.135,1833.3444,81.6672,-4473.2459,102.76702,12.807263,206.57952,-0.026386946,-1.104002,0.1344205,0.0033578115,-0.058069415,0.1244374,-0.0067865512,0.00057797735,0.024510083,0.23835321,-0.0073656176,0.00068255317,0.038103541,1,0,0,0.0019906879,-0.0047308391,0.71613921,231.0848,4473.2459,117.02157,15450,-1.1051773,nan,0.1245894,nan,nan,20806.285,-330.87597,121.10706,-19.427991,0.37255742,-9.2710217,-131.19884,15450,0,0,0,0,0
0.14,1833.8588,81.731325,-4472.2117,103.05526,12.851891,207.20536,-0.027591452,-1.1042768,0.13578886,0.0037381751,-0.058487756,0.11714669,-0.0069296018,0.000604239,0.027963366,0.24593927,-0.0074495397,0.0007007095,0.040757727,1,0,0,0.0017857776,-0.0053029828,0.71826862,231.77493,4472.2117,116.98533,15466.667,-1.1052227,nan,0.12454877,nan,nan,20933.053,-332.89149,137.48723,-15.909808,0.39183645,-6.0581426,-149.37315,15466.667,0,0,0,0,0
0.145,1834.3746,81.795675,-4471.1744,103.34344,12.8976,207.83206,-0.02871945,-1.1045536,0.13707354,0.0041373215,-0.058736731,0.10891982,-0.0070571076,0.00062821053,0.031190034,0.25344978,-0.0075180625,0.00071558985,0.04308284,1,0,0,0.0015800759,-0.0058323701,0.72040049,232.46587,4471.1744,116.9491,15483.333,-1.1052681,nan,0.12450791,nan,nan,21060.375,-334.91659,152.93878,-12.365059,0.40983633,-2.8388425,-166.55416,15483.333,0,0,0,0,0
0.15,1834.8919,81.860256,-4470.134,103.63157,12.944325,208.45965,-0.029761581,-1.104832,0.1382642,0.0045538955,-0.058816295,0.099812283,-0.0071691626,0.00064964405,0.034164281,0.26088548,-0.0075716287,0.00072702054,0.045060492,1,0,0,0.0013744323,-0.0063147541,0.72253482,233.15764,4470.134,116.91286,15500,-1.1053136,nan,0.12446682,nan,nan,21188.253,-336.95128,167.32546,-8.8077212,0.42636874,0.37468892,-182.58969,15500,0,0,0,0,0
0.155,1835.4107,81.925073,-4469.0905,103.91967,12.991989,209.08811,-0.030709046,-1.1051113,0.1393511,0.0049863573,-0.058727052,0.089887469,-0.0072659475,0.00066831243,0.036862351,0.26824712,-0.0076107358,0.00073485631,0.046674947,1,0,0,0.0011696903,-0.0067462153,0.72467161,233.85022,4469.0905,116.87662,15516.667,-1.1053592,nan,0.12442547,nan,nan,21316.689,-338.9956,180.51741,-5.2518297,0.44125494,3.5703211,-197.33446,15516.667,0,0,0,0,0
0.16,1835.9308,81.99013,-4468.0438,104.20773,13.04051,209.71745,-0.031553685,-1.105391,0.14032523,0.0054329927,-0.058470249,0.079216236,-0.007347721,0.0006840112,0.039262695,0.27553544,-0.007635924,0.00073898151,0.04791329,1,0,0,0.00096668387,-0.0071231972,0.72681086,234.54363,4468.0438,116.84038,15533.333,-1.1054048,nan,0.12438386,nan,nan,21445.684,-341.04956,192.39233,-1.7114382,0.4543274,6.7360119,-210.65127,15533.333,0,0,0,0,0
0.165,1836.4524,82.05543,-4466.9939,104.49576,13.089797,210.34767,-0.032288055,-1.1056705,0.14117837,0.005891925,-0.05804777,0.067876472,-0.00741481,0.00069656024,0.041346128,0.28275116,-0.0076477642,0.0007393111,0.048765558,1,0,0,0.00076623415,-0.0074425401,0.72895256,235.23785,4466.9939,116.80414,15550,-1.1054505,nan,0.12434199,nan,nan,21575.241,-343.11317,202.83655,1.7994233,0.46543133,9.8598355,-222.41223,15550,0,0,0,0,0
0.17,1836.9755,82.120979,-4465.9409,104.78379,13.139752,210.97876,-0.032905502,-1.1059492,0.14190317,0.0063611283,-0.05746213,0.055952579,-0.0074675993,0.00070580536,0.043095983,0.28989502,-0.0076468466,0.00073579143,0.049224869,1,0,0,0.00056914662,-0.0077015127,0.73109673,235.9329,4465.9409,116.76791,15566.667,-1.1054963,nan,0.12429983,nan,nan,21705.361,-345.18643,211.74615,5.2667895,0.47442621,12.930009,-232.49997,15566.667,0,0,0,0,0
0.175,1837.5,82.186779,-4464.8848,105.07183,13.190271,211.61074,-0.033400228,-1.1062265,0.14249323,0.0068384421,-0.056716462,0.043534894,-0.0075065218,0.00071161958,0.04449825,0.29696772,-0.0076337693,0.00072840076,0.04928751,1,0,0,0.00037620785,-0.0078978392,0.73324336,236.62877,4464.8848,116.73167,15583.333,-1.1055421,nan,0.1242574,nan,nan,21836.046,-347.26936,219.02791,8.6767999,0.4811871,15.934917,-240.80881,15583.333,0,0,0,0,0
0.18,1838.0259,82.252832,-4463.8254,105.35989,13.241244,212.24359,-0.033767355,-1.1065017,0.14294317,0.007321588,-0.055814511,0.030719048,-0.0075320473,0.00071390423,0.045541701,0.30396998,-0.0076091286,0.00071714954,0.048953007,1,0,0,0.00018818244,-0.0080297252,0.73539246,237.32547,4463.8254,116.69543,15600,-1.105588,nan,0.12421468,nan,nan,21967.297,-349.36194,224.6004,12.015739,0.48560598,18.863134,-247.24586,15600,0,0,0,0,0
0.185,1838.5533,82.319141,-4462.763,105.64799,13.292558,212.87732,-0.034002982,-1.1067743,0.1432487,0.0078081865,-0.054760619,0.017605273,-0.0075446731,0.00071258988,0.046218003,0.31090249,-0.0075735095,0.00070208049,0.048224178,1,0,0,5.8101972e-06,-0.0080958786,0.73754403,238.02299,4462.763,116.65919,15616.667,-1.105634,nan,0.12417166,nan,nan,22099.117,-351.46416,228.39481,15.270078,0.48759285,21.703454,-251.73208,15616.667,0,0,0,0,0
0.19,1839.0821,82.385706,-4461.6973,105.93614,13.344097,213.51193,-0.034104222,-1.1070435,0.14340666,0.0082957756,-0.053559715,0.0042948667,-0.0075449138,0.00070763693,0.046521778,0.31776596,-0.0075274791,0.00068326817,0.047106815,1,0,0,-0.00017019679,-0.0080955121,0.73969808,238.72134,4461.6973,116.62295,15633.333,-1.10568,nan,0.12412836,nan,nan,22231.508,-353.5638,230.53145,18.426512,0.48707712,24.444908,-254.3391,15633.333,0,0,0,0,0
0.195,1839.6124,82.45253,-4460.6285,106.22438,13.395744,214.14742,-0.034069213,-1.1073087,0.14341498,0.0087818307,-0.052217294,-0.0091094623,-0.0075332927,0.00069903589,0.046450567,0.32456106,-0.0074715817,0.00066081736,0.045609697,1,0,0,-0.00033915685,-0.0080283421,0.74185462,239.42052,4460.6285,116.58672,15650,-1.1057261,nan,0.12408475,nan,nan,22364.472,-355.67165,230.79034,21.472009,0.48400739,27.076793,-254.87975,15650,0,0,0,0,0
0.2,1840.1441,82.519612,-4459.5565,106.51273,13.447377,214.78379,-0.033897166,-1.1075692,0.14327282,0.0092637838,-0.050739409,-0.022497924,-0.0075103342,0.00068680736,0.046004992,0.33128849,-0.0074063342,0.00063486321,0.043745348,1,0,0,-0.00050042142,-0.0078946402,0.74401364,240.12053,4459.5565,116.55048,15666.667,-1.1057723,nan,0.12404085,nan,nan,22498.011,-357.78821,229.13341,24.393846,0.47835297,29.588702,-253.31237,15666.667,0,0,0,0,0
0.205,1840.6772,82.586952,-4458.4813,106.8012,13.49887,215.42103,-0.033588426,-1.1078243,0.14298057,0.0097390446,-0.049132644,-0.035759098,-0.0074765567,0.00067100209,0.045188823,0.33794891,-0.007332224,0.00060557089,0.041529532,1,0,0,-0.00065337749,-0.00769523,0.74617516,240.82137,4458.4813,116.51424,15683.333,-1.1058185,nan,0.12399665,nan,nan,22632.126,-359.91356,225.54452,27.17966,0.47010425,31.970549,-249.61747,15683.333,0,0,0,0,0
0.21,1841.2118,82.654549,-4457.4029,107.08981,13.550098,216.05914,-0.033144482,-1.1080732,0.14253989,0.010205022,-0.047404104,-0.048780919,-0.0074324676,0.0006517008,0.044008986,0.34454299,-0.007249709,0.00057313451,0.038981155,1,0,0,-0.00079745009,-0.0074314892,0.74833918,241.52305,4457.4029,116.478,15700,-1.1058648,nan,0.12395215,nan,nan,22766.821,-362.04782,220.0241,29.817489,0.45927321,34.212606,-243.79373,15700,0,0,0,0,0
0.215,1841.7478,82.722401,-4456.3213,107.37861,13.600937,216.69812,-0.032567978,-1.1083153,0.14195372,0.010659145,-0.045561385,-0.061451644,-0.0073785592,0.00062901374,0.042475544,0.3510714,-0.0071592197,0.00053777565,0.036122142,1,0,0,-0.0009321045,-0.0071053464,0.7505057,242.22556,4456.3213,116.44176,15716.667,-1.1059112,nan,0.12390737,nan,nan,22902.096,-364.19108,212.58965,32.295826,0.44589372,36.305533,-235.85858,15716.667,0,0,0,0,0
0.22,1842.2853,82.790507,-4455.2365,107.6676,13.651265,217.33796,-0.031862712,-1.1085498,0.14122625,0.011098887,-0.043612559,-0.07366085,-0.0073153063,0.00060308001,0.040601648,0.35753478,-0.0070611637,0.00049974168,0.032977286,1,0,0,-0.0010568484,-0.0067192724,0.75267472,242.92892,4455.2365,116.40553,15733.333,-1.1059576,nan,0.1238623,nan,nan,23037.955,-366.34346,203.27599,34.603667,0.43002166,38.240424,-225.84851,15733.333,0,0,0,0,0
0.225,1842.8242,82.858863,-4454.1486,107.95682,13.700962,217.97867,-0.031033621,-1.1087761,0.14036295,0.011521783,-0.041566142,-0.085300441,-0.0072431663,0.00057406657,0.038403463,0.36393378,-0.0069559318,0.00045930388,0.029574063,1,0,0,-0.0011712339,-0.006276268,0.75484626,243.63311,4454.1486,116.36929,15750,-1.106004,nan,0.12381694,nan,nan,23174.398,-368.50507,192.13548,36.730565,0.41173492,40.008846,-213.81929,15750,0,0,0,0,0
0.23,1843.3646,82.927466,-4453.0574,108.2463,13.749914,218.62023,-0.030086758,-1.1089933,0.13937051,0.011925458,-0.039431073,-0.096265661,-0.0071625799,0.00054216708,0.035900066,0.37026905,-0.0068439057,0.0004167552,0.025942424,1,0,0,-0.0012748592,-0.0057798455,0.75702031,244.33814,4453.0574,116.33305,15766.667,-1.1060505,nan,0.12377132,nan,nan,23311.428,-370.67601,179.23796,38.666686,0.39113304,41.602887,-199.84599,15766.667,0,0,0,0,0
0.235,1843.9064,82.996312,-4451.963,108.53605,13.798011,219.26265,-0.029029259,-1.1092008,0.1382568,0.012307643,-0.037216682,-0.10645611,-0.0070739742,0.00050760043,0.033113309,0.37654122,-0.0067254665,0.00037240797,0.022114555,1,0,0,-0.0013673706,-0.005234006,0.75919687,245.04401,4451.963,116.29681,15783.333,-1.1060971,nan,0.12372542,nan,nan,23449.046,-372.85642,164.67062,40.402867,0.36833685,43.01521,-184.02275,15783.333,0,0,0,0,0
0.24,1844.4497,83.065397,-4450.8654,108.8261,13.84515,219.90591,-0.027869296,-1.1093979,0.13703086,0.012666198,-0.034932656,-0.11577674,-0.0069777673,0.00047060902,0.030067665,0.38275092,-0.0066010049,0.00032659124,0.018124615,1,0,0,-0.0014484635,-0.0046432112,0.76137594,245.75072,4450.8654,116.26057,15800,-1.1061437,nan,0.12367927,nan,nan,23587.254,-375.0464,148.53761,41.930677,0.3434877,44.239105,-166.46251,15800,0,0,0,0,0
0.245,1844.9944,83.134715,-4449.7646,109.11648,13.891234,220.55001,-0.026616018,-1.1095841,0.13570277,0.012999134,-0.032589008,-0.12413883,-0.0068743734,0.00043145688,0.02679004,0.38889877,-0.0064709314,0.00027964803,0.014008446,1,0,0,-0.0015178842,-0.0040123512,0.76355753,246.45827,4449.7646,116.22434,15816.667,-1.1061904,nan,0.12363287,nan,nan,23726.055,-377.24607,130.9595,43.242474,0.31674667,45.26855,-147.29632,15816.667,0,0,0,0,0
0.25,1845.5405,83.204262,-4448.6606,109.40722,13.936176,221.19494,-0.025279491,-1.1097587,0.13428363,0.013304629,-0.030196039,-0.13146092,-0.0067642101,0.00039042752,0.02330956,0.39498539,-0.006335686,0.00023193241,0.0098032597,1,0,0,-0.0015754306,-0.0033467071,0.76574163,247.16666,4448.6606,116.1881,15833.333,-1.1062371,nan,0.12358624,nan,nan,23865.449,-379.45556,112.07258,44.331472,0.28829345,46.098269,-126.67268,15833.333,0,0,0,0,0
0.255,1846.0881,83.274031,-4447.5533,109.69834,13.979898,221.8407,-0.02387061,-1.1099213,0.13278547,0.013581048,-0.027764297,-0.13766972,-0.0066477053,0.00034782156,0.019657331,0.40101138,-0.0061957492,0.00018380637,0.0055473153,1,0,0,-0.0016209536,-0.0026519099,0.76792823,247.87589,4447.5533,116.15186,15850,-1.1062839,nan,0.12353939,nan,nan,24005.439,-381.67498,92.027965,45.191797,0.25832509,46.723793,-104.75653,15850,0,0,0,0,0
