mach,k_alpha_acc,k_q_acc,k_theta_acc,k_i_acc
0.300,-16.961681,1.059270,17.255353,1.104483
0.500,-41.480344,2.261768,42.131753,2.907409
0.700,-72.528296,3.503824,73.318646,4.877211
0.900,-108.827442,6.167732,110.282851,8.720234
1.600,-509.970525,258.733313,1257.063280,361.874722
2.000,-566.870123,291.180125,1413.370486,407.738753
2.500,-582.498296,342.101255,1651.130665,479.445613
3.000,-594.366911,396.391185,1905.841366,555.963087
