time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_aero_fx,rocket_aero_fy,rocket_aero_fz,rocket_aero_mx,rocket_aero_my,rocket_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0.2,21.280265,0.0020591576,-112.78043,123.6304,0.04188911,-73.339628,0.0011109418,0.54426231,0.0025620432,-0.0033411616,0.013212187,0.021519826,-0.0033440807,-5.2686561e-05,-0.0022730996,0.33289656,-0.0035627784,-5.3463038e-05,-0.002427157,1,0,0,0.0088464434,-0.0019023393,0.42295816,143.74692,112.78043,83.745387,17333.333,0.55126557,nan,0.011804521,nan,nan,12519.734,-117.93589,15.831458,-40.800206,-0.01851914,-1.0389642,3.64165,17333.333,0,0,0,0,0
0.22,23.784555,0.003018474,-114.26474,127.15597,0.055895204,-75.290284,0.0013090719,0.54452136,0.0030845189,-0.0039735517,0.012699607,0.023311968,-0.0035793952,-5.3402309e-05,-0.0024428791,0.35910547,-0.0037855252,-5.3869621e-05,-0.002594765,1,0,0,0.009925242,-0.0022630207,0.43481582,147.77439,114.26474,83.619926,17466.667,0.55147572,nan,0.013052585,nan,nan,13229.222,-124.61927,19.249343,-48.799669,-0.019502449,-0.98771418,3.5110092,17466.667,0,0,0,0,0
0.24,26.359622,0.0042833849,-115.78826,130.71119,0.072784194,-77.262415,0.0015158126,0.54477029,0.0036483506,-0.0046361493,0.012218752,0.025040753,-0.0037993187,-5.3617502e-05,-0.0026106016,0.38428469,-0.0039904094,-5.361278e-05,-0.0027608075,1,0,0,0.010928087,-0.0026449517,0.44678157,151.8384,115.78826,83.494465,17600,0.55167451,nan,0.01431571,nan,nan,13964.825,-131.54865,23.105614,-57.090931,-0.020297727,-0.92800313,3.3893875,17600,0,0,0,0,0
0.26,29.006061,0.0059141452,-117.35142,134.29604,0.092845572,-79.256092,0.0017298927,0.54500968,0.0042521131,-0.0053225899,0.011761135,0.026710692,-0.0040031356,-5.3468629e-05,-0.0027765212,0.40847469,-0.0041805857,-5.3266655e-05,-0.0029251577,1,0,0,0.011859829,-0.0030462632,0.45885553,155.93897,117.35142,83.369004,17733.333,0.55186173,nan,0.015594083,nan,nan,14727.066,-138.72897,27.425242,-65.673732,-0.020937357,-0.8880269,3.2753155,17733.333,0,0,0,0,0
0.28,31.724463,0.0079768462,-118.95464,137.91055,0.11637404,-81.271386,0.0019501933,0.54523992,0.0048944731,-0.0060292092,0.01132343,0.028325212,-0.0041923737,-5.3176171e-05,-0.0029408268,0.43171431,-0.0043568635,-5.2852362e-05,-0.003088107,1,0,0,0.012724793,-0.0034652191,0.47103782,160.07614,118.95464,83.243542,17866.667,0.55203717,nan,0.016887889,nan,nan,15516.476,-146.1652,32.233339,-74.540778,-0.021504146,-0.84769177,3.1681233,17866.667,0,0,0,0,0
0.3,34.515422,0.010543522,-120.59837,141.55472,0.14366975,-83.308364,0.0021756931,0.54546138,0.0055741763,-0.0067533569,0.010903476,0.029887847,-0.0043674591,-5.2710327e-05,-0.0031037198,0.45404091,-0.0045194997,-5.2215277e-05,-0.0032497888,1,0,0,0.013526963,-0.0039001982,0.48332856,164.24994,120.59837,83.118081,18000,0.55220064,nan,0.018197311,nan,nan,16333.588,-153.8624,37.555295,-83.687154,-0.021972783,-0.81528856,3.0679014,18000,0,0,0,0,0
0.32,37.379459,0.013691828,-122.28298,145.21483,0.17495556,-85.358764,0.0024054705,0.54567437,0.0062900444,-0.0074914962,0.010496942,0.031401074,-0.0045292862,-5.2092446e-05,-0.003265449,0.47549035,-0.0046699567,-5.1502375e-05,-0.0034107308,1,0,0,0.014271321,-0.0043500799,0.49568063,168.44434,122.28298,82.99262,17985.185,0.55235194,nan,0.019522509,nan,nan,17175.666,-161.79478,43.411595,-93.09821,-0.022337678,-0.79337846,2.9692916,17985.185,0,0,0,0,0
0.34,40.316691,0.01750294,-124.00863,148.87408,0.21041109,-87.412429,0.0026386896,0.54587911,0.0070409357,-0.0082406747,0.010100179,0.032866678,-0.0046792564,-5.1412546e-05,-0.0034266855,0.49609709,-0.0048095955,-5.078297e-05,-0.0035716323,1,0,0,0.014962937,-0.004813965,0.50803624,172.63971,124.00863,82.867159,17970.37,0.55249097,nan,0.020863547,nan,nan,18038.897,-169.92641,49.819945,-102.752,-0.022632237,-0.77170017,2.8791316,17970.37,0,0,0,0,0
0.36,43.327099,0.022062644,-125.77539,152.53241,0.25030245,-89.469358,0.0028746021,0.54607576,0.0078257824,-0.0089986888,0.0097127347,0.034288516,-0.0048179094,-5.0684726e-05,-0.0035874778,0.51589423,-0.004938247,-5.0009441e-05,-0.0037320227,1,0,0,0.01560499,-0.0052906003,0.52039524,176.83598,125.77539,82.741697,17955.556,0.55261764,nan,0.022220466,nan,nan,18923.262,-178.25713,56.800607,-112.63616,-0.022859573,-0.7545369,2.7936098,17955.556,0,0,0,0,0
0.38,46.410665,0.027462064,-127.58331,156.18975,0.29489723,-91.529551,0.0031125381,0.54626449,0.0086435836,-0.0097632514,0.0093323392,0.035668807,-0.0049458034,-4.9916948e-05,-0.0037479041,0.5349136,-0.0050566894,-4.9217629e-05,-0.0038921587,1,0,0,0.016200362,-0.0057788129,0.53275747,181.0331,127.58331,82.616236,17940.741,0.55273187,nan,0.023593305,nan,nan,19828.74,-186.78673,64.373435,-122.73772,-0.023020572,-0.74029381,2.71343,17940.741,0,0,0,0,0
