time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_aero_fx,rocket_aero_fy,rocket_aero_fz,rocket_aero_mx,rocket_aero_my,rocket_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0.3,0.73399995,0.012862485,-18.65613,3.4564452,0.10212431,-70.017593,-0.0037259845,1.5360626,-0.0037282435,-5.0272373e-24,0.00067189575,-0.00061689481,1.7008763e-05,5.8362182e-24,-9.400393e-06,0.45404091,2.0122558e-05,1.8585441e-24,-1.11199e-05,1,-0.00041469741,0.00022918214,-0.071044475,-0.041311932,0.20611132,70.123682,18.65613,520,92000,1.5358897,nan,0,nan,nan,3006.4744,-176.7807,292.12941,502.36566,3.5024704e-21,96.228714,-54.593072,91999.99,-21.084755,-38.152161,0,-95.380403,52.711886
0.33,0.84064928,0.016139238,-20.826628,3.6678369,0.11750153,-75.014704,-0.0042767953,1.536083,-0.0042793865,-7.8765569e-25,0.00069135171,-0.00065617362,2.0750011e-05,2.1172702e-24,-1.1458477e-05,0.48589695,2.4573342e-05,2.5962444e-25,-1.3556581e-05,1,-0.00043963365,0.0002427836,-0.065792058,-0.038322986,0.22076185,75.106282,20.826628,520,91950,1.5358897,nan,0,nan,nan,3448.1813,-202.75306,310.80876,533.57324,1.441575e-21,101.98469,-57.770134,91949.988,-22.323949,-40.424313,0,-101.06078,55.809873
0.36,0.9536598,0.019889844,-23.146977,3.8806063,0.13376824,-80.007336,-0.0048618913,1.5361038,-0.004864835,2.5349951e-23,0.00070521438,-0.00069333109,2.5182354e-05,-3.2164318e-24,-1.3887444e-05,0.51589423,2.9564902e-05,-7.4718902e-24,-1.6287712e-05,1,-0.00046644946,0.00025726211,-0.0611755,-0.035695045,0.23540711,80.086709,23.146977,520,91900,1.5358897,nan,0,nan,nan,3919.7797,-230.48305,329.09052,563.98502,-2.8358855e-21,107.58016,-60.835932,91899.987,-23.642385,-42.866704,0,-107.16676,59.105962
0.39,1.0730721,0.024140556,-25.617042,4.0946999,0.15089494,-84.995388,-0.005478046,1.536125,-0.0054813604,2.7643163e-23,0.00070986924,-0.00072622901,3.0135149e-05,-8.3669236e-24,-1.6600245e-05,0.54414121,3.4962417e-05,-7.3122078e-24,-1.9244628e-05,1,-0.00049189968,0.00027099595,-0.057083227,-0.033364353,0.25004572,85.064467,25.617042,520,91850,1.5358897,nan,0,nan,nan,4421.1383,-259.96293,346.94843,593.56526,-7.6726972e-21,113.03956,-63.802458,91849.986,-24.890974,-45.180984,0,-112.95246,62.227436
0.42,1.1989252,0.028916822,-28.236682,4.3100746,0.1688567,-89.978762,-0.0061225122,1.5361462,-0.0061262139,-1.3204163e-23,0.00071079562,-0.00075727731,3.5569837e-05,-5.6094092e-24,-1.9576439e-05,0.57074001,4.0867051e-05,3.1469554e-24,-2.2475566e-05,1,-0.00051544953,0.00028371132,-0.053428337,-0.031281334,0.26467656,90.039152,28.236682,520,91800,1.5358897,nan,0,nan,nan,4952.1209,-291.18471,364.35725,622.27987,-5.2310707e-21,118.3218,-66.649503,91799.984,-26.044695,-47.318265,0,-118.29566,65.111738
0.45,1.3312569,0.034243328,-31.005758,4.5266843,0.18762674,-94.95736,-0.0067944388,1.5361673,-0.0067985438,-2.909858e-23,0.00071114217,-0.00078782634,4.1544573e-05,2.0470174e-24,-2.2841408e-05,0.59578681,4.7371784e-05,6.2736901e-24,-2.6020892e-05,1,-0.00053797113,0.00029580591,-0.050142147,-0.029406864,0.27929869,95.010422,31.005758,520,91750,1.5358897,nan,0,nan,nan,5512.5864,-324.14008,381.29254,650.09625,2.7081021e-21,123.3939,-69.360672,91749.983,-27.140188,-49.358849,0,-123.39712,67.850469
0.48,1.4701037,0.040143911,-33.924123,4.7444771,0.20717528,-99.931083,-0.0074933538,1.5361885,-0.0074978779,-1.9780817e-23,0.0007102435,-0.00081749662,4.8099691e-05,4.5479698e-24,-2.6410796e-05,0.61937215,5.4470681e-05,3.8734564e-24,-2.9873993e-05,1,-0.00055988637,0.00030745704,-0.047169749,-0.027709696,0.29391134,99.977985,33.924123,520,91700,1.5358897,nan,0,nan,nan,6102.3893,-358.82049,397.73122,676.98438,5.7946488e-21,128.25049,-71.93227,91699.981,-28.193806,-51.341578,0,-128.35394,70.484515
0.51,1.6155002,0.046641491,-36.99163,4.9633994,0.22747122,-104.89983,-0.0082182768,1.5362096,-0.008223235,-1.8262696e-23,0.00070698237,-0.00084573567,5.522758e-05,6.4827811e-24,-3.0278274e-05,0.64158132,6.2123463e-05,3.2606037e-24,-3.4014231e-05,1,-0.00058100377,0.00031857002,-0.044466754,-0.026164587,0.30851382,104.94159,36.99163,520,91650,1.5358897,nan,0,nan,nan,6721.3793,-395.2171,413.65163,702.91721,8.8842459e-21,132.89246,-74.363316,91649.98,-29.196937,-53.248992,0,-133.12248,72.992342
0.54,1.7674795,0.053758052,-40.20813,5.1833978,0.24848311,-109.86352,-0.0089679326,1.5362305,-0.0089733391,-3.7585e-24,0.0007013507,-0.0008724754,6.2908254e-05,3.5654959e-24,-3.4432307e-05,0.66249461,7.0314345e-05,6.1408334e-25,-3.8431893e-05,1,-0.0006010839,0.00032903909,-0.041996876,-0.024750924,0.32310554,109.901,40.20813,520,91600,1.5358897,nan,0,nan,nan,7369.4015,-433.32081,429.03346,727.8703,5.2241075e-21,137.31266,-76.649459,91599.978,-30.139975,-55.059281,0,-137.6482,75.349937
0.57,1.9260733,0.061514625,-43.573467,5.4044186,0.27017897,-114.82203,-0.0097410881,1.5362512,-0.0097469565,-2.6191564e-23,0.00069383097,-0.00089784167,7.1132707e-05,1.1629993e-24,-3.8865478e-05,0.68218764,7.9044668e-05,3.9298135e-24,-4.3122969e-05,1,-0.00062007256,0.00033883879,-0.039730153,-0.023451698,0.33768598,114.85602,43.573467,520,91550,1.5358897,nan,0,nan,nan,8046.2964,-473.12223,443.85757,751.82143,2.3735858e-21,141.4991,-78.7846,91549.977,-31.020685,-56.76764,0,-141.9191,77.551712
