time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,aircraft_aero_fx,aircraft_aero_fy,aircraft_aero_fz,aircraft_aero_mx,aircraft_aero_my,aircraft_aero_mz,turbojet_fx,turbojet_fy,turbojet_fz,turbojet_mx,turbojet_my,turbojet_mz
1.4,82.663734,0,-802.49615,58.025846,0,-2.9889846,0,0.07643456,0,0,0.0067788942,0,-0.028211517,0,0,0.069278032,-0.028118407,0,0,0.107738,0,0,0.024968785,0,0.17230942,58.102778,802.49615,1200,196.8267,nan,nan,0,1000,60,1913.1048,-923.46218,0,-12681.795,0,12.45217,0,196.8267,0,0,0,0,0
1.5,88.459644,0,-802.79814,57.885657,0,-3.0522436,0,0.077146134,0,0,0.0074993797,0,-0.028064891,0,0,0.077148111,-0.028021732,0,0,0.11653561,0,0,0.02446608,0,0.1719046,57.966071,802.79814,1200,219.18195,nan,nan,0,1000,60,1904.0568,-924.16575,0,-12556.003,0,13.601046,0,219.18195,0,0,0,0,0
1.6,94.241623,0,-803.106,57.747314,0,-3.106365,0,0.077931446,0,0,0.0082409,0,-0.028016909,0,0,0.085193488,-0.028013254,0,0,0.12539732,0,0,0.024190869,0,0.17150406,57.830803,803.106,1200,242.03421,nan,nan,0,1000,60,1895.1236,-922.574,0,-12461.356,0,13.245404,0,242.03421,0,0,0,0,0
1.7,100.00985,0,-803.41893,57.610782,0,-3.1537152,0,0.078789134,0,0,0.008935683,0,-0.028045591,0,0,0.09339344,-0.028072105,0,0,0.13431848,0,0,0.024101964,0,0.17110797,57.697037,803.41893,1200,265.32454,nan,nan,0,1000,60,1886.309,-919.1648,0,-12392.046,0,11.926455,0,265.32454,0,0,0,0,0
1.8,105.76452,0,-803.73636,57.476019,0,-3.1961899,0,0.079712367,0,0,0.0095423741,0,-0.028131696,0,0,0.10173026,-0.028180348,0,0,0.14329531,0,0,0.024160479,0,0.17071648,57.564819,803.73636,1200,289.00262,nan,nan,0,1000,60,1877.6153,-914.35699,0,-12342.679,0,10.062816,0,289.00262,0,0,0,0,0
1.9,111.50579,0,-804.05786,57.342985,0,-3.235259,0,0.080691181,0,0,0.010039638,0,-0.028258962,0,0,0.11018885,-0.028323078,0,0,0.1523247,0,0,0.024331492,0,0.17032968,57.434178,804.05786,1200,313.0255,nan,nan,0,1000,60,1869.0439,-908.50871,0,-12308.479,0,7.9639138,0,313.0255,0,0,0,0,0
2,117.23383,0,-804.38314,57.211649,0,-3.272023,0,0.081714208,0,0,0.010420637,0,-0.028414107,0,0,0.11875634,-0.028488329,0,0,0.16140394,0,0,0.024584888,0,0.16994763,57.305138,804.38314,1200,337.35658,nan,nan,0,1000,60,1860.5956,-901.91962,0,-12285.386,0,5.8478833,0,337.35658,0,0,0,0,0
2.1,122.94882,0,-804.71203,57.081986,0,-3.3072734,0,0.082769903,0,0,0.010688487,0,-0.028586647,0,0,0.12742172,-0.028666814,0,0,0.17053059,0,0,0.024895602,0,0.16957038,57.177716,804.71203,1200,361.96459,nan,nan,0,1000,60,1852.2709,-894.83496,0,-12270.062,0,3.8590959,0,361.96459,0,0,0,0,0
2.2,128.65093,0,-805.04439,56.953983,0,-3.3415519,0,0.083847361,0,0,0.010852645,0,-0.028768586,0,0,0.13617558,-0.028851584,0,0,0.17970232,0,0,0.02524346,0,0.16919797,57.051925,805.04439,1200,386.82272,nan,nan,0,1000,60,1844.07,-887.45073,0,-12259.857,0,2.0842182,0,386.82272,0,0,0,0,0
2.3,134.34031,0,-805.38015,56.827633,0,-3.3752051,0,0.08493681,0,0,0.010926127,0,-0.028954062,0,0,0.14500979,-0.029037656,0,0,0.18891686,0,0,0.025612771,0,0.16883044,56.927777,805.38015,1200,411.90786,nan,nan,0,1000,60,1835.9929,-879.91935,0,-12252.738,0,0.56651339,0,411.90786,0,0,0,0,0
